Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.347,NOR,,CAR,W 47-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,17,26%,0,0%,0,0%,
2.0,2024.0,2024-09-15,2.0,2.0,23.354,NOR,@,DAL,W 44-19,,,,,,,0.0%,,,,,,15,25%,0,0%,0,0%,
3.0,2024.0,2024-09-22,3.0,3.0,23.361,NOR,,PHI,L 12-15,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,18,32%,0,0%,0,0%,
4.0,2024.0,2024-09-29,4.0,4.0,24.002,NOR,@,ATL,L 24-26,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,29,39%,0,0%,0,0%,
5.0,2024.0,2024-10-07,5.0,5.0,24.01,NOR,@,KAN,L 13-26,,4,1,2,2.00,0,25.0%,0.50,0,0,,0,19,36%,0,0%,0,0%,
6.0,2024.0,2024-10-13,6.0,6.0,24.016,NOR,,TAM,L 27-51,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,29,41%,0,0%,9,24%,
7.0,2024.0,2024-10-17,7.0,7.0,24.02,NOR,,DEN,L 10-33,*,9,6,45,7.50,0,66.7%,5.00,1,21,21.00,0,58,83%,0,0%,8,28%,
8.0,2024.0,2024-10-27,8.0,8.0,24.03,NOR,@,LAC,L 8-26,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,56,77%,0,0%,2,6%,
9.0,2024.0,2024-11-03,9.0,9.0,24.037,NOR,@,CAR,L 22-23,,3,0,0,,0,0.0%,0.00,0,0,,0,60,76%,0,0%,0,0%,
10.0,2024.0,2024-11-10,10.0,10.0,24.044,NOR,,ATL,W 20-17,,,,,,,0.0%,,,,,,29,55%,0,0%,0,0%,
11.0,2024.0,2024-11-17,11.0,11.0,,NOR,,CLE,W 35-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
