Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,MIN,,ATL,W 28-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,MIN,@,GNB,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,,3,,MIN,,OAK,W 34-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,,4,,MIN,@,CHI,L 6-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,,5,,MIN,@,NYG,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-10-13,,6,,MIN,,PHI,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2019,2019-10-20,,7,,MIN,@,DET,W 42-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-10-24,,8,,MIN,,WAS,W 19-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-11-03,,9,,MIN,@,KAN,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-10,,10,,MIN,@,DAL,W 28-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2019,2019-11-17,,11,,MIN,,DEN,W 27-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2019,2019-12-02,,13,,MIN,@,SEA,L 30-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2019,2019-12-08,,14,,MIN,,DET,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2019,2019-12-15,,15,,MIN,@,LAC,W 39-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2019,2019-12-23,,16,,MIN,,GNB,L 10-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2019,2019-12-29,16,17,22.318,MIN,,CHI,L 19-21,,31,63%,0,0%,5,20%,
17,2020,2020-09-13,1,1,23.212,MIN,,GNB,L 34-43,,0,0%,0,0%,2,8%,
18,2020,2020-09-20,2,2,,MIN,@,IND,L 11-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2020,2020-09-27,3,3,,MIN,,TEN,L 30-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2020,2020-10-04,4,4,,MIN,@,HOU,W 31-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2020,2020-10-11,5,5,,MIN,@,SEA,L 26-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2020,2020-10-18,6,6,23.247,MIN,,ATL,L 23-40,,0,0%,0,0%,1,3%,
23,2020,2020-11-01,7,8,,MIN,@,GNB,W 28-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2020,2020-11-08,8,9,,MIN,,DET,W 34-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2020,2020-11-16,9,10,23.276,MIN,@,CHI,W 19-13,,1,1%,0,0%,3,12%,
26,2020,2020-11-22,10,11,23.282,MIN,,DAL,L 28-31,,1,2%,0,0%,4,15%,
