Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-10-09,5,5,,LVR,,GNB,W 17-13,Did Not Play
2,2024,2024-09-08,1,1,,NOR,,CAR,W 47-10,Did Not Play
3,2024,2024-09-15,2,2,,NOR,@,DAL,W 44-19,Did Not Play
4,2024,2024-09-22,3,3,,NOR,,PHI,L 12-15,Did Not Play
5,2024,2024-09-29,4,4,,NOR,@,ATL,L 24-26,Did Not Play
6,2024,2024-10-07,5,5,,NOR,@,KAN,L 13-26,Did Not Play
7,2024,2024-10-13,6,6,,NOR,,TAM,L 27-51,Did Not Play
8,2024,2024-10-17,7,7,,NOR,,DEN,L 10-33,Did Not Play
9,2024,2024-10-27,8,8,,NOR,@,LAC,L 8-26,Did Not Play
10,2024,2024-11-03,9,9,,NOR,@,CAR,L 22-23,Did Not Play
11,2024,2024-11-10,10,10,,NOR,,ATL,W 20-17,Did Not Play
12,2024,2024-11-17,11,11,,NOR,,CLE,W 35-14,Did Not Play
