Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.263,DET,@,ARI,T 27-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,17%,34,85%,
2,2019,2019-09-15,2,2,23.270,DET,,LAC,W 13-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,23%,14,64%,
3,2019,2019-09-22,3,3,23.277,DET,@,PHI,W 27-24,,,,,,,,,,,,0,,,0,0,0,0,0%,23,31%,19,63%,
4,2019,2019-09-29,4,4,23.284,DET,,KAN,L 30-34,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,75%,23,72%,
5,2019,2019-10-14,5,6,23.299,DET,@,GNB,L 22-23,,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,49%,21,68%,
6,2019,2019-10-20,6,7,23.305,DET,,MIN,L 30-42,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,32%,22,74%,
7,2019,2019-10-27,7,8,23.312,DET,,NYG,W 31-26,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,82%,16,62%,
8,2019,2019-11-03,8,9,23.319,DET,@,OAK,L 24-31,*,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,13,50%,
9,2019,2019-11-10,9,10,23.326,DET,@,CHI,L 13-20,*,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,100%,19,63%,
10,2019,2019-11-17,10,11,23.333,DET,,DAL,L 27-35,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,81%,8,26%,
11,2019,2019-11-24,11,12,23.340,DET,@,WAS,L 16-19,*,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,100%,9,30%,
12,2019,2019-11-28,12,13,23.344,DET,,CHI,L 20-24,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,89%,4,15%,
13,2019,2019-12-08,13,14,23.354,DET,@,MIN,L 7-20,,,,,,,,,,,,0,,,0,0,0,0,0%,34,47%,9,35%,
14,2019,2019-12-15,14,15,23.361,DET,,TAM,L 17-38,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,52%,14,47%,
15,2019,2019-12-22,15,16,24.003,DET,@,DEN,L 17-27,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,48%,17,63%,
16,2019,2019-12-29,16,17,24.010,DET,,GNB,L 20-23,,1.0,4,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,36,41%,20,65%,
17,2020,2020-09-13,1,1,24.269,DET,,CHI,L 23-27,*,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,80%,9,27%,
18,2020,2020-09-20,2,2,24.276,DET,@,GNB,L 21-42,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,67%,13,43%,
19,2020,2020-09-27,3,3,24.283,DET,@,ARI,W 26-23,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,12,43%,
20,2020,2020-10-04,4,4,24.290,DET,,NOR,L 29-35,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,31%,17,68%,
21,2020,2020-10-18,5,6,24.304,DET,@,JAX,W 34-16,,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,14,54%,
22,2020,2020-10-25,6,7,24.311,DET,@,ATL,W 23-22,,,,,,,,,,,,0,,,0,0,0,0,0%,6,8%,15,65%,
23,2020,2020-11-01,7,8,24.318,DET,,IND,L 21-41,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,20,67%,
24,2020,2020-11-08,8,9,24.325,DET,@,MIN,L 20-34,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,29%,18,60%,
25,2020,2020-11-15,9,10,24.332,DET,,WAS,W 30-27,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,19,61%,
26,2020,2020-11-22,10,11,24.339,DET,@,CAR,L 0-20,*,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,20%,14,61%,
27,2020,2020-11-26,11,12,24.343,DET,,HOU,L 25-41,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,40%,21,70%,
28,2020,2020-12-06,12,13,24.353,DET,@,CHI,W 34-30,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,19,63%,
29,2020,2020-12-13,13,14,24.360,DET,,GNB,L 24-31,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,14,54%,
30,2020,2020-12-20,14,15,25.001,DET,@,TEN,L 25-46,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,16,62%,
31,2020,2020-12-26,15,16,25.007,DET,,TAM,L 7-47,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,45%,18,60%,
32,2020,2021-01-03,16,17,25.015,DET,,MIN,L 35-37,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,33,41%,19,64%,
33,2021,2021-09-12,1,1,25.267,DET,,SFO,L 33-41,*,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,100%,14,45%,
34,2021,2021-09-20,2,2,25.275,DET,@,GNB,L 17-35,*,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,9,39%,
35,2021,2021-09-26,3,3,25.281,DET,,BAL,L 17-19,*,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,76%,11,40%,
36,2021,2021-10-03,4,4,25.288,DET,@,CHI,L 14-24,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,74%,7,33%,
37,2021,2021-10-10,5,5,25.295,DET,@,MIN,L 17-19,*,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,97%,11,42%,
38,2021,2021-10-17,6,6,25.302,DET,,CIN,L 11-34,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,85%,9,36%,
39,2021,2021-10-24,7,7,25.309,DET,@,LAR,L 19-28,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,10,40%,
40,2021,2021-10-31,8,8,25.316,DET,,PHI,L 6-44,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,51%,11,44%,
41,2021,2021-11-14,9,10,25.330,DET,@,PIT,T 16-16,*,0.0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,81,93%,7,21%,
42,2021,2021-11-21,10,11,25.337,DET,@,CLE,L 10-13,*,0.5,6,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,69,93%,6,27%,
43,2021,2021-11-25,11,12,25.341,DET,,CHI,L 14-16,*,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,90%,8,33%,
44,2021,2021-12-05,12,13,25.351,DET,,MIN,W 29-27,*,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,76%,8,30%,
45,2021,2021-12-12,13,14,25.358,DET,@,DEN,L 10-38,*,0.0,2,7,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,79%,9,41%,
46,2021,2021-12-19,14,15,26.000,DET,,ARI,W 30-12,*,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,75,100%,10,40%,
47,2021,2021-12-26,15,16,26.007,DET,@,ATL,L 16-20,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,100%,5,22%,
48,2021,2022-01-02,16,17,26.014,DET,@,SEA,L 29-51,*,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,93%,5,16%,
49,2021,2022-01-09,17,18,26.021,DET,,GNB,W 37-30,*,0.0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,8,29%,
50,2022,2022-09-11,1,1,26.266,DET,,PHI,L 35-38,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,9%,26,84%,
51,2022,2022-09-18,2,2,26.273,DET,,WAS,W 36-27,*,0.0,5,3,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,74,100%,8,25%,
52,2022,2022-09-25,3,3,26.280,DET,@,MIN,L 24-28,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,28%,17,61%,
53,2022,2022-10-02,4,4,26.287,DET,,SEA,L 45-48,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,19,58%,
54,2022,2022-10-09,5,5,26.294,DET,@,NWE,L 0-29,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,28%,3,16%,
55,2022,2022-10-23,6,7,,DET,@,DAL,L 6-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2022,2022-10-30,7,8,26.315,DET,,MIA,L 27-31,*,0.0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,57%,17,68%,
57,2022,2022-11-06,8,9,26.322,DET,,GNB,W 15-9,*,0.0,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,76%,3,23%,
58,2022,2022-11-13,9,10,26.329,DET,@,CHI,W 31-30,,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,64%,13,45%,
59,2022,2022-11-20,10,11,26.336,DET,@,NYG,W 31-18,*,0.0,5,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,74,97%,13,50%,
60,2022,2022-11-24,11,12,26.340,DET,,BUF,L 25-28,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,100%,11,42%,
61,2022,2022-12-04,12,13,26.350,DET,,JAX,W 40-14,*,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,89%,11,42%,
62,2022,2022-12-11,13,14,,DET,,MIN,W 34-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,2022,2022-12-18,14,15,26.364,DET,@,NYJ,W 20-17,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,97%,0,0%,
64,2022,2022-12-24,15,16,27.005,DET,@,CAR,L 23-37,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,75%,0,0%,
65,2022,2023-01-01,16,17,27.013,DET,,CHI,W 41-10,*,0.0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,49,94%,0,0%,
66,2022,2023-01-08,17,18,27.020,DET,@,GNB,W 20-16,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,37,62%,1,4%,
67,2023,2023-09-07,1,1,27.262,DET,@,KAN,W 21-20,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,24,89%,
68,2023,2023-09-17,2,2,27.272,DET,,SEA,L 31-37,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,79%,
69,2023,2023-09-24,3,3,27.279,DET,,ATL,W 20-6,,,,,,,,,,,,,,,,,,0,0%,1,1%,23,85%,
70,2023,2023-09-28,4,4,27.283,DET,@,GNB,W 34-20,,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,25%,20,67%,
71,2023,2023-10-08,5,5,27.293,DET,,CAR,W 42-24,*,0.0,7,2,9,0,1,0,0,0,1,0,0,0,1,3,0,0,0%,68,96%,6,22%,
72,2023,2023-10-15,6,6,27.300,DET,@,TAM,W 20-6,,0.0,2,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,39,70%,0,0%,
73,2023,2023-10-22,7,7,27.307,DET,@,BAL,L 6-38,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,83%,4,19%,
74,2023,2023-10-30,8,8,27.315,DET,,LVR,W 26-14,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,60%,
75,2023,2023-11-12,9,10,27.328,DET,@,LAC,W 41-38,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,16,53%,
76,2023,2023-11-19,10,11,27.335,DET,,CHI,W 31-26,,,,,,,,,,,,,,,,,,0,0%,1,1%,17,65%,
77,2023,2023-11-23,11,12,27.339,DET,,GNB,L 22-29,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,70%,
78,2023,2023-12-03,12,13,27.349,DET,@,NOR,W 33-28,,,,,,,,,,,,,,,,,,0,0%,3,4%,21,70%,
79,2023,2023-12-10,13,14,27.356,DET,@,CHI,L 13-28,,,,,,,,,,,,,,,,,,0,0%,1,1%,22,92%,
80,2023,2023-12-16,14,15,27.362,DET,,DEN,W 42-17,,,,,,,,,,,,,,,,,,0,0%,2,3%,22,76%,
81,2023,2023-12-24,15,16,28.005,DET,@,MIN,W 30-24,,,,,,,,,,,,,,,,,,0,0%,1,2%,20,77%,
82,2023,2023-12-30,16,17,28.011,DET,@,DAL,L 19-20,,,,,,,,,,,,,,,,,,0,0%,0,0%,23,88%,
83,2023,2024-01-07,17,18,28.019,DET,,MIN,W 30-20,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,23,82%,
84,2024,2024-09-08,1,1,28.264,NOR,,CAR,W 47-10,*,0.0,0,2,2,0,0,1,7,0,1,0,0,0,0,0,0,0,0%,59,100%,12,40%,
85,2024,2024-09-15,2,2,28.271,NOR,@,DAL,W 44-19,*,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,70,100%,13,48%,
86,2024,2024-09-22,3,3,28.278,NOR,,PHI,L 12-15,*,0.0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,2,12%,
87,2024,2024-09-29,4,4,28.285,NOR,@,ATL,L 24-26,*,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,100%,6,21%,
88,2024,2024-10-07,5,5,28.293,NOR,@,KAN,L 13-26,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,33%,0,0%,
89,2024,2024-10-13,6,6,,NOR,,TAM,L 27-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-10-17,7,7,,NOR,,DEN,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
