Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-10,1,1,22.208,KAN,,HOU,W 34-20,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,64%,
2,2020,2020-09-20,2,2,22.218,KAN,@,LAC,W 23-20,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,7%,18,64%,
3,2020,2020-09-28,3,3,22.226,KAN,@,BAL,W 34-20,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,9,16%,15,60%,
4,2020,2020-10-05,4,4,22.233,KAN,,NWE,W 26-10,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,33%,16,70%,
5,2020,2020-10-11,5,5,22.239,KAN,,LVR,L 32-40,*,0,0,1.0,5,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,47%,20,63%,
6,2020,2020-10-19,6,6,22.247,KAN,@,BUF,W 26-17,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,4%,16,64%,
7,2020,2020-10-25,7,7,22.253,KAN,@,DEN,W 43-16,*,0,0,0.0,3,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0%,39,51%,19,63%,
8,2020,2020-11-01,8,8,22.260,KAN,,NYJ,W 35-9,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,16%,13,45%,
9,2020,2020-11-08,9,9,22.267,KAN,,CAR,W 33-31,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,18%,10,32%,
10,2020,2020-11-22,10,11,22.281,KAN,@,LVR,W 35-31,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,53%,16,62%,
11,2020,2020-11-29,11,12,22.288,KAN,@,TAM,W 27-24,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,19,66%,
12,2020,2020-12-06,12,13,22.295,KAN,,DEN,W 22-16,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,26%,10,38%,
13,2020,2020-12-13,13,14,22.302,KAN,@,MIA,W 33-27,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,20%,17,50%,
14,2020,2020-12-20,14,15,22.309,KAN,@,NOR,W 32-29,,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,12,22%,20,59%,
15,2020,2020-12-27,15,16,22.316,KAN,,ATL,W 17-14,*,0,0,0.0,7,2,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,49,72%,15,68%,
16,2020,2021-01-03,16,17,22.323,KAN,,LAC,L 21-38,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,1,5%,
