Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-12,1,1,23.286,SEA,,DEN,W 17-16,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,1,5%,
2,2022,2022-09-18,2,2,23.292,SEA,@,SFO,L 7-27,,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,23,30%,4,17%,
3,2022,2022-09-25,3,3,23.299,SEA,,ATL,L 23-27,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,33%,2,8%,
4,2022,2022-10-02,4,4,23.306,SEA,@,DET,W 48-45,,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,43%,8,24%,
5,2022,2022-10-09,5,5,23.313,SEA,@,NOR,L 32-39,*,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,45%,7,21%,
6,2022,2022-10-16,6,6,23.320,SEA,,ARI,W 19-9,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,51%,0,0%,
7,2022,2022-10-23,7,7,23.327,SEA,@,LAC,W 37-23,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,39%,0,0%,
8,2022,2022-10-30,8,8,23.334,SEA,,NYG,W 27-13,,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,28,43%,6,20%,
9,2022,2022-11-06,9,9,23.341,SEA,@,ARI,W 31-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,41%,0,0%,
10,2022,2022-11-13,10,10,23.348,SEA,@,TAM,L 16-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,37%,1,5%,
11,2022,2022-11-27,11,12,23.362,SEA,,LVR,L 34-40,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,35%,3,9%,
12,2022,2022-12-04,12,13,24.004,SEA,@,LAR,W 27-23,,,,,,,,,,,,,,,,,,0,0%,10,16%,5,19%,
13,2022,2022-12-11,13,14,24.011,SEA,,CAR,L 24-30,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,25%,5,18%,
14,2022,2022-12-15,14,15,24.015,SEA,,SFO,L 13-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,36%,0,0%,
15,2022,2022-12-24,15,16,24.024,SEA,@,KAN,L 10-24,,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,38%,6,25%,
16,2022,2023-01-01,16,17,24.032,SEA,,NYJ,W 23-6,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,37%,10,40%,
17,2022,2023-01-08,17,18,24.039,SEA,,LAR,W 19-16,,1.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,43%,11,33%,
18,2023,2023-09-10,1,1,24.284,SEA,,LAR,L 13-30,*,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,53%,8,29%,
19,2023,2023-09-17,2,2,,SEA,@,DET,W 37-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2023,2023-09-24,3,3,24.298,SEA,,CAR,W 37-27,*,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,58,73%,6,17%,
21,2023,2023-10-02,4,4,24.306,SEA,@,NYG,W 24-3,*,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,51%,1,4%,
22,2023,2023-10-15,5,6,24.319,SEA,@,CIN,L 13-17,*,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,56%,3,13%,
23,2023,2023-10-22,6,7,24.326,SEA,,ARI,W 20-10,*,1.0,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,52,79%,3,13%,
24,2023,2023-10-29,7,8,24.333,SEA,,CLE,W 24-20,*,1.0,3,5,8,1,4,0,0,0,0,0,0,0,1,3,0,0,0%,58,74%,4,15%,
25,2023,2023-11-05,8,9,24.340,SEA,@,BAL,L 3-37,*,1.0,5,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0%,42,55%,7,26%,
26,2023,2023-11-12,9,10,24.347,SEA,,WAS,W 29-26,*,1.0,4,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,46,75%,5,14%,
27,2023,2023-11-19,10,11,24.354,SEA,@,LAR,L 16-17,*,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,44,66%,3,12%,
28,2023,2023-11-23,11,12,24.358,SEA,,SFO,L 13-31,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,83%,7,24%,
29,2023,2023-11-30,12,13,25.000,SEA,@,DAL,L 35-41,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,70%,7,25%,
30,2023,2023-12-10,13,14,25.010,SEA,@,SFO,L 16-28,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,83%,5,19%,
31,2023,2023-12-18,14,15,25.018,SEA,,PHI,W 20-17,*,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,55,80%,3,11%,
