Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-12,1,1,21.291,SEA,,DEN,W 17-16,*,0,0,0,1,0,0,55,100%,0,0%,3,16%,
2,2022,2022-09-18,2,2,21.297,SEA,@,SFO,L 7-27,*,,,,,,,49,100%,0,0%,1,4%,
3,2022,2022-09-25,3,3,21.304,SEA,,ATL,L 23-27,*,,,,,,,71,100%,0,0%,5,20%,
4,2022,2022-10-02,4,4,21.311,SEA,@,DET,W 48-45,*,,,,,,,70,100%,0,0%,6,18%,
5,2022,2022-10-09,5,5,21.318,SEA,@,NOR,L 32-39,*,,,,,,,52,100%,0,0%,5,15%,
6,2022,2022-10-16,6,6,21.325,SEA,,ARI,W 19-9,*,,,,,,,68,100%,0,0%,5,19%,
7,2022,2022-10-23,7,7,21.332,SEA,@,LAC,W 37-23,*,,,,,,,71,100%,0,0%,7,24%,
8,2022,2022-10-30,8,8,21.339,SEA,,NYG,W 27-13,*,,,,,,,64,100%,0,0%,5,17%,
9,2022,2022-11-06,9,9,21.346,SEA,@,ARI,W 31-21,*,,,,,,,71,97%,0,0%,5,19%,
10,2022,2022-11-13,10,10,21.353,SEA,@,TAM,L 16-21,*,,,,,,,52,100%,0,0%,2,10%,
11,2022,2022-11-27,11,12,22.002,SEA,,LVR,L 34-40,*,,,,,,,65,100%,0,0%,6,18%,
12,2022,2022-12-04,12,13,22.009,SEA,@,LAR,W 27-23,*,,,,,,,67,100%,0,0%,5,19%,
13,2022,2022-12-11,13,14,22.016,SEA,,CAR,L 24-30,*,,,,,,,54,100%,0,0%,4,14%,
14,2022,2022-12-15,14,15,22.020,SEA,,SFO,L 13-21,*,,,,,,,64,100%,0,0%,3,11%,
15,2022,2022-12-24,15,16,22.029,SEA,@,KAN,L 10-24,*,,,,,,,76,100%,0,0%,2,8%,
16,2022,2023-01-01,16,17,22.037,SEA,,NYJ,W 23-6,*,,,,,,,72,100%,0,0%,6,24%,
17,2022,2023-01-08,17,18,22.044,SEA,,LAR,W 19-16,*,,,,,,,70,100%,0,0%,6,18%,
18,2023,2023-09-10,1,1,22.289,SEA,,LAR,L 13-30,*,,,,,,,38,75%,0,0%,4,14%,
19,2023,2023-09-17,2,2,,SEA,@,DET,W 37-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2023,2023-09-24,3,3,,SEA,,CAR,W 37-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
