Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,24.148,SEA,,DEN,W 26-20,,1,1%,0,0%,4,12%,
2.0,2024.0,2024-09-15,2.0,2.0,24.155,SEA,@,NWE,W 23-20,,15,21%,0,0%,5,16%,
3.0,2024.0,2024-09-22,3.0,3.0,24.162,SEA,,MIA,W 24-3,,0,0%,0,0%,5,19%,
4.0,2024.0,2024-09-30,4.0,4.0,24.17,SEA,@,DET,L 29-42,,36,40%,0,0%,4,14%,
5.0,2024.0,2024-10-06,5.0,5.0,24.176,SEA,,NYG,L 20-29,,18,31%,0,0%,5,17%,
6.0,2024.0,2024-10-10,6.0,6.0,24.18,SEA,,SFO,L 24-36,,8,10%,0,0%,4,13%,
7.0,2024.0,2024-10-20,7.0,7.0,24.19,SEA,@,ATL,W 34-14,,15,25%,0,0%,6,23%,
8.0,2024.0,2024-10-27,8.0,8.0,24.197,SEA,,BUF,L 10-31,,11,22%,0,0%,2,9%,
9.0,2024.0,2024-11-03,9.0,9.0,,SEA,,LAR,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-17,10.0,11.0,24.218,SEA,@,SFO,W 20-17,,0,0%,0,0%,4,19%,
11.0,2024.0,2024-11-24,11.0,12.0,24.225,SEA,,ARI,W 16-6,,60,94%,0,0%,3,12%,
