Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-12,1,1,23.167,SEA,,DEN,W 17-16,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,0,0%,
2,2022,2022-09-18,2,2,23.173,SEA,@,SFO,L 7-27,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,50,66%,0,0%,
3,2022,2022-09-25,3,3,23.180,SEA,,ATL,L 23-27,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,67%,0,0%,
4,2022,2022-10-02,4,4,23.187,SEA,@,DET,W 48-45,*,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,58,78%,0,0%,
5,2022,2022-10-09,5,5,23.194,SEA,@,NOR,L 32-39,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,37,48%,0,0%,
6,2022,2022-10-16,6,6,23.201,SEA,,ARI,W 19-9,,0,0,0.0,5,3,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,53,75%,0,0%,
7,2022,2022-10-23,7,7,23.208,SEA,@,LAC,W 37-23,*,0,0,0.0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,96%,0,0%,
8,2022,2022-10-30,8,8,23.215,SEA,,NYG,W 27-13,*,0,0,0.0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,72%,4,13%,
9,2022,2022-11-06,9,9,23.222,SEA,@,ARI,W 31-21,*,0,0,0.0,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,86%,0,0%,
10,2022,2022-11-13,10,10,23.229,SEA,@,TAM,L 16-21,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,65%,0,0%,
11,2022,2022-11-27,11,12,23.243,SEA,,LVR,L 34-40,*,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,69%,0,0%,
12,2022,2022-12-04,12,13,23.250,SEA,@,LAR,W 27-23,,0,0,0.0,4,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,58,91%,0,0%,
