Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,22.175,SEA,,LAR,L 13-30,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,25%,24,86%
2,2023,2023-09-17,2,2,22.182,SEA,@,DET,W 37-31,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,24,36%,12,43%
3,2023,2023-09-24,3,3,22.189,SEA,,CAR,W 37-27,,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,33,42%,21,60%
4,2023,2023-10-02,4,4,22.197,SEA,@,NYG,W 24-3,,0,0,0.0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,27,36%,17,74%
5,2023,2023-10-15,5,6,22.210,SEA,@,CIN,L 13-17,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,22%,20,87%
6,2023,2023-10-22,6,7,22.217,SEA,,ARI,W 20-10,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,27%,18,75%
7,2023,2023-10-29,7,8,22.224,SEA,,CLE,W 24-20,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,38%,14,54%
8,2023,2023-11-05,8,9,22.231,SEA,@,BAL,L 3-37,,0,0,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,33%,19,70%
9,2023,2023-11-12,9,10,22.238,SEA,,WAS,W 29-26,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,18%,17,49%
10,2023,2023-11-19,10,11,22.245,SEA,@,LAR,L 16-17,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,9%,17,65%
11,2023,2023-11-23,11,12,22.249,SEA,,SFO,L 13-31,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,16,55%
12,2023,2023-11-30,12,13,22.256,SEA,@,DAL,L 35-41,,0,0,,,,,,,,,,,,,,,,,0,0%,4,4%,13,47%
13,2023,2023-12-10,13,14,22.266,SEA,@,SFO,L 16-28,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,28%,15,56%
14,2023,2023-12-18,14,15,22.274,SEA,,PHI,W 20-17,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,14%,17,63%
15,2023,2023-12-24,15,16,22.280,SEA,@,TEN,W 20-17,,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,18,82%
16,2023,2023-12-31,16,17,22.287,SEA,,PIT,L 23-30,,0,0,0.0,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,36%,15,54%
17,2023,2024-01-07,17,18,22.294,SEA,@,ARI,W 21-20,,0,0,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,19,27%,14,54%
18,2024,2024-09-08,1,1,23.173,SEA,,DEN,W 26-20,,0,0,1.0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,31,45%,23,68%
19,2024,2024-09-15,2,2,23.180,SEA,@,NWE,W 23-20,,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,66%,4,13%
20,2024,2024-09-22,3,3,23.187,SEA,,MIA,W 24-3,*,0,0,2.0,4,1,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0%,40,66%,3,11%
21,2024,2024-09-30,4,4,23.195,SEA,@,DET,L 29-42,*,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,81%,0,0%
22,2024,2024-10-06,5,5,23.201,SEA,,NYG,L 20-29,*,0,0,1.0,4,2,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,46,64%,0,0%
23,2024,2024-10-10,6,6,23.205,SEA,,SFO,L 24-36,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,72%,6,20%
24,2024,2024-10-20,7,7,23.215,SEA,@,ATL,W 34-14,*,1,6,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,36,1,0,0%,42,58%,1,4%
25,2024,2024-10-27,8,8,23.222,SEA,,BUF,L 10-31,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,74%,6,26%
26,2024,2024-11-03,9,9,23.229,SEA,,LAR,L 20-26,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,73%,4,13%
27,2024,2024-11-17,10,11,23.243,SEA,@,SFO,W 20-17,*,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,34,54%,0,0%
28,2024,2024-11-24,11,12,23.250,SEA,,ARI,W 16-6,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,66%,4,17%
