Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,24.054,SEA,,MIA,W 12-10,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,12%,
2,2016,2016-09-18,2,2,24.061,SEA,@,LAR,L 3-9,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,1,4%,
3,2016,2016-09-25,3,3,24.068,SEA,,SFO,W 37-18,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,7,23%,
4,2016,2016-10-02,,4,,SEA,@,NYJ,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2016,2016-10-16,,6,,SEA,,ATL,W 26-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2016,2016-10-23,6,7,24.096,SEA,@,ARI,T 6-6,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,3,10%,
7,2016,2016-10-30,7,8,24.103,SEA,@,NOR,L 20-25,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,5,19%,
8,2016,2016-11-07,8,9,24.111,SEA,,BUF,W 31-25,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,47,100%,0,0%,5,18%,
9,2016,2016-11-13,9,10,24.117,SEA,@,NWE,W 31-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,6,22%,
10,2016,2016-11-20,10,11,24.124,SEA,,PHI,W 26-15,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,57,85%,0,0%,4,14%,
