Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,25.037,SEA,,LAR,L 13-30,,,,,,,0.0%,,,,,,0,0,,,,,,,12,24%,0,0%,12,43%
2,2023,2023-09-17,2,2,25.044,SEA,@,DET,W 37-31,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,18,25%,0,0%,13,46%
3,2023,2023-09-24,3,3,25.051,SEA,,CAR,W 37-27,,2,1,5,5.00,1,50.0%,2.50,0,0,,0,1,6,0.0,0,0,0,0,0,31,41%,0,0%,6,17%
4,2023,2023-10-02,4,4,25.059,SEA,@,NYG,W 24-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,21,38%,0,0%,3,13%
5,2023,2023-10-15,5,6,25.072,SEA,@,CIN,L 13-17,,2,2,43,21.50,0,100.0%,21.50,0,0,,0,0,0,0.0,0,0,0,0,0,23,31%,0,0%,5,22%
6,2023,2023-10-22,6,7,25.079,SEA,,ARI,W 20-10,,5,4,61,15.25,1,80.0%,12.20,0,0,,0,1,6,0.0,0,0,0,0,0,45,75%,0,0%,10,42%
7,2023,2023-10-29,7,8,25.086,SEA,,CLE,W 24-20,,2,2,23,11.50,0,100.0%,11.50,1,3,3.00,1,1,6,0.0,0,0,0,0,0,18,31%,0,0%,9,35%
8,2023,2023-11-05,8,9,25.093,SEA,@,BAL,L 3-37,,,,,,,0.0%,,,,,,0,0,,,,,,,9,18%,0,0%,11,41%
9,2023,2023-11-12,9,10,25.100,SEA,,WAS,W 29-26,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0,22,27%,0,0%,7,20%
10,2023,2023-11-19,10,11,25.107,SEA,@,LAR,L 16-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,26,40%,0,0%,7,27%
11,2023,2023-11-23,11,12,25.111,SEA,,SFO,L 13-31,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,12,21%,0,0%,7,24%
12,2023,2023-11-30,12,13,25.118,SEA,@,DAL,L 35-41,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,8,12%,0,0%,9,32%
13,2023,2023-12-10,13,14,25.128,SEA,@,SFO,L 16-28,,,,,,,0.0%,,,,,,0,0,,,,,,,10,17%,0,0%,10,37%
14,2023,2023-12-18,14,15,25.136,SEA,,PHI,W 20-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,14,23%,0,0%,9,33%
15,2023,2023-12-24,15,16,25.142,SEA,@,TEN,W 20-17,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,0,0,0,0,0,16,26%,0,0%,7,32%
16,2023,2023-12-31,16,17,25.149,SEA,,PIT,L 23-30,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,5,10%,0,0%,9,32%
17,2023,2024-01-07,17,18,25.156,SEA,@,ARI,W 21-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,14,25%,0,0%,5,19%
18,2024,2024-09-08,1,1,26.035,SEA,,DEN,W 26-20,,,,,,,0.0%,,,,,,0,0,,,,,,,20,30%,0,0%,26,76%
19,2024,2024-09-15,2,2,26.042,SEA,@,NWE,W 23-20,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,1,1,0,0,14,20%,0,0%,21,68%
20,2024,2024-09-22,3,3,26.049,SEA,,MIA,W 24-3,,,,,,,0.0%,,,,,,0,0,,,,,,,19,30%,0,0%,20,74%
21,2024,2024-09-30,4,4,26.057,SEA,@,DET,L 29-42,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,27,30%,0,0%,16,55%
22,2024,2024-10-06,5,5,26.063,SEA,,NYG,L 20-29,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,1,0,1,0,0,2,3%,0,0%,20,67%
23,2024,2024-10-10,6,6,26.067,SEA,,SFO,L 24-36,*,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,1,0,1,0,0,12,15%,0,0%,11,37%
24,2024,2024-10-20,7,7,26.077,SEA,@,ATL,W 34-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,29,48%,0,0%,17,66%
25,2024,2024-10-27,8,8,26.084,SEA,,BUF,L 10-31,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0,0,0,0,39,76%,0,0%,13,57%
26,2024,2024-11-03,9,9,26.091,SEA,,LAR,L 20-26,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,42,53%,0,0%,25,78%
27,2024,2024-11-17,10,11,26.105,SEA,@,SFO,W 20-17,,,,,,,0.0%,,,,,,0,0,,,,,,,6,10%,0,0%,14,67%
28,2024,2024-11-24,11,12,26.112,SEA,,ARI,W 16-6,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,1,1,0,0,15,23%,0,0%,17,71%
