Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,24.021,CAR,@,NOR,L 10-47,,0,0%,17,26%,11,37%,
2.0,2024.0,2024-09-15,2.0,2.0,,SEA,@,NWE,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,SEA,,MIA,W 24-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4.0,2024.0,2024-09-30,4.0,4.0,,SEA,@,DET,L 29-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5.0,2024.0,2024-10-06,5.0,5.0,,SEA,,NYG,L 20-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6.0,2024.0,2024-10-10,6.0,6.0,24.053,SEA,,SFO,L 24-36,,0,0%,0,0%,8,27%,
7.0,2024.0,2024-10-20,7.0,7.0,,SEA,@,ATL,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8.0,2024.0,2024-10-27,8.0,8.0,,SEA,,BUF,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9.0,2024.0,2024-11-17,10.0,11.0,,SEA,@,SFO,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10.0,2024.0,2024-11-24,11.0,12.0,,SEA,,ARI,W 16-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
