Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,21.208,SEA,,LAR,L 13-30,,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,30,59%,0,0%,0,0%
2,2023,2023-09-17,2,2,21.215,SEA,@,DET,W 37-31,,6,5,34,6.80,0,83.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,40,56%,0,0%,0,0%
3,2023,2023-09-24,3,3,21.222,SEA,,CAR,W 37-27,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,33,44%,0,0%,0,0%
4,2023,2023-10-02,4,4,21.230,SEA,@,NYG,W 24-3,,6,3,5,1.67,0,50.0%,0.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,29,53%,0,0%,0,0%
5,2023,2023-10-15,5,6,21.243,SEA,@,CIN,L 13-17,,5,4,48,12.00,0,80.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%
6,2023,2023-10-22,6,7,21.250,SEA,,ARI,W 20-10,*,7,4,63,15.75,1,57.1%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,38,63%,0,0%,0,0%
7,2023,2023-10-29,7,8,21.257,SEA,,CLE,W 24-20,,4,3,36,12.00,1,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,38,66%,0,0%,0,0%
8,2023,2023-11-05,8,9,21.264,SEA,@,BAL,L 3-37,,7,6,63,10.50,0,85.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,40,82%,0,0%,0,0%
9,2023,2023-11-12,9,10,21.271,SEA,,WAS,W 29-26,*,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,50,62%,0,0%,0,0%
10,2023,2023-11-19,10,11,21.278,SEA,@,LAR,L 16-17,,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%
11,2023,2023-11-23,11,12,21.282,SEA,,SFO,L 13-31,,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,42,75%,0,0%,0,0%
