Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.21,SEA,,DEN,W 26-20,,,,,,,,,,,,0,0%,0,0%,5,15%,
2.0,2024.0,2024-09-15,2.0,2.0,23.217,SEA,@,NWE,W 23-20,,,,,,,,,,,,0,0%,0,0%,6,19%,
3.0,2024.0,2024-09-22,3.0,3.0,23.224,SEA,,MIA,W 24-3,,0.0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,8,30%,
4.0,2024.0,2024-09-30,4.0,4.0,23.232,SEA,@,DET,L 29-42,,,,,,,,,,,,0,0%,0,0%,3,10%,
5.0,2024.0,2024-10-06,5.0,5.0,23.238,SEA,,NYG,L 20-29,,0.0,0,1,1,0,0,0,0,0,1,0,0%,12,17%,5,17%,
6.0,2024.0,2024-10-10,6.0,6.0,23.242,SEA,,SFO,L 24-36,,0.0,0,0,0,0,0,0,0,0,0,0,0%,20,31%,5,17%,
7.0,2024.0,2024-10-20,7.0,7.0,23.252,SEA,@,ATL,W 34-14,*,0.0,4,1,5,0,0,0,0,0,0,0,0%,69,95%,4,15%,
8.0,2024.0,2024-10-27,8.0,8.0,,SEA,,BUF,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9.0,2024.0,2024-11-03,9.0,9.0,,SEA,,LAR,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-17,10.0,11.0,,SEA,@,SFO,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,,SEA,,ARI,W 16-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
