Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.263,SEA,,DEN,W 26-20,,,,,,,,0,0%,0,0%,12,35%,
2.0,2024.0,2024-09-15,2.0,2.0,23.27,SEA,@,NWE,W 23-20,,0.0,3,4,7,0,0,0,0%,44,65%,10,32%,
3.0,2024.0,2024-09-22,3.0,3.0,23.277,SEA,,MIA,W 24-3,*,0.0,5,1,6,1,0,0,0%,35,57%,1,4%,
4.0,2024.0,2024-09-30,4.0,4.0,23.285,SEA,@,DET,L 29-42,*,0.0,7,2,9,0,0,0,0%,39,74%,0,0%,
5.0,2024.0,2024-10-06,5.0,5.0,,SEA,,NYG,L 20-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6.0,2024.0,2024-10-10,6.0,6.0,23.295,SEA,,SFO,L 24-36,,,,,,,,0,0%,0,0%,15,50%,
7.0,2024.0,2024-10-20,7.0,7.0,23.305,SEA,@,ATL,W 34-14,,0.0,0,1,1,0,0,0,0%,7,10%,12,46%,
8.0,2024.0,2024-10-27,8.0,8.0,23.312,SEA,,BUF,L 10-31,,,,,,,,0,0%,0,0%,8,35%,
9.0,2024.0,2024-11-03,9.0,9.0,23.319,SEA,,LAR,L 20-26,,,,,,,,0,0%,0,0%,15,47%,
10.0,2024.0,2024-11-17,10.0,11.0,23.333,SEA,@,SFO,W 20-17,*,0.0,4,6,10,0,1,0,0%,51,81%,3,14%,
11.0,2024.0,2024-11-24,11.0,12.0,23.34,SEA,,ARI,W 16-6,*,1.0,5,4,9,1,1,0,0%,47,81%,1,4%,
