Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.245,SEA,,LAR,L 13-30,,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,12,24%,0,0%,2,7%,
2,2023,2023-09-17,2,2,22.252,SEA,@,DET,W 37-31,,4,16,4.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,19,26%,0,0%,9,32%,
3,2023,2023-09-24,3,3,22.259,SEA,,CAR,W 37-27,,9,46,5.11,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,0.0,0,1,1,0,0,32,43%,0,0%,13,37%,
4,2023,2023-10-02,4,4,22.267,SEA,@,NYG,W 24-3,,5,31,6.20,0,3,1,9,9.00,0,33.3%,3.00,0,0,0.0,0,0,0,0,0,13,24%,0,0%,12,52%,
5,2023,2023-10-15,5,6,22.280,SEA,@,CIN,L 13-17,,2,5,2.50,0,2,2,14,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,18,24%,0,0%,12,52%,
6,2023,2023-10-22,6,7,,SEA,,ARI,W 20-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-29,7,8,22.294,SEA,,CLE,W 24-20,,5,53,10.60,0,2,2,11,5.50,0,100.0%,5.50,0,0,0.0,0,0,0,0,0,34,59%,0,0%,12,46%,
8,2023,2023-11-05,8,9,22.301,SEA,@,BAL,L 3-37,,4,8,2.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,27,55%,0,0%,12,44%,
9,2023,2023-11-12,9,10,22.308,SEA,,WAS,W 29-26,,6,44,7.33,0,5,4,18,4.50,0,80.0%,3.60,0,0,0.0,0,0,0,0,0,42,52%,0,0%,11,32%,
10,2023,2023-11-19,10,11,22.315,SEA,@,LAR,L 16-17,,15,47,3.13,0,6,6,22,3.67,0,100.0%,3.67,0,0,0.0,0,0,0,0,0,55,85%,0,0%,1,4%,
