Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,27.041,TAM,,CAR,L 14-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,7,28%,
2,2014,2014-09-14,2,2,27.048,TAM,,STL,L 17-19,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,6,26%,
3,2014,2014-09-18,3,3,27.052,TAM,@,ATL,L 14-56,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,10,30%,
4,2014,2014-09-28,4,4,27.062,TAM,@,PIT,W 27-24,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,31%,
5,2014,2014-10-05,5,5,27.069,TAM,@,NOR,L 31-37,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,9,29%,
6,2014,2014-10-12,6,6,27.076,TAM,,BAL,L 17-48,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,27%,
7,2014,2014-10-26,7,8,27.090,TAM,,MIN,L 13-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,10,34%,
8,2014,2014-11-02,8,9,27.097,TAM,@,CLE,L 17-22,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,33%,
9,2014,2014-11-09,9,10,27.104,TAM,,ATL,L 17-27,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,6,25%,
10,2014,2014-11-16,10,11,27.111,TAM,@,WAS,W 27-7,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,38%,
11,2014,2014-11-23,11,12,27.118,TAM,@,CHI,L 13-21,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,29%,
12,2014,2014-11-30,12,13,27.125,TAM,,CIN,L 13-14,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,38%,
13,2014,2014-12-07,13,14,27.132,TAM,@,DET,L 17-34,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,30%,
14,2014,2014-12-14,14,15,27.139,TAM,@,CAR,L 17-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,8,30%,
15,2014,2014-12-21,15,16,27.146,TAM,,GNB,L 3-20,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,41%,
16,2014,2014-12-28,16,17,27.153,TAM,,NOR,L 20-23,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,8,33%,
17,2015,2015-09-13,1,1,28.047,TAM,,TEN,L 14-42,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,6,23%,
18,2015,2015-09-20,2,2,28.054,TAM,@,NOR,W 26-19,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,36%,
19,2015,2015-09-27,3,3,28.061,TAM,@,HOU,L 9-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,39%,
20,2015,2015-10-04,4,4,28.068,TAM,,CAR,L 23-37,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,25%,
21,2015,2015-10-11,5,5,28.075,TAM,,JAX,W 38-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,28%,
22,2015,2015-10-25,6,7,28.089,TAM,@,WAS,L 30-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,27%,
23,2015,2015-11-01,7,8,28.096,TAM,@,ATL,W 23-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,33%,
24,2015,2015-11-08,8,9,28.103,TAM,,NYG,L 18-32,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,26%,
25,2015,2015-11-15,9,10,28.110,TAM,,DAL,W 10-6,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,32%,
26,2015,2015-11-22,10,11,28.117,TAM,@,PHI,W 45-17,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,34%,
27,2015,2015-11-29,11,12,28.124,TAM,@,IND,L 12-25,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
28,2015,2015-12-06,12,13,28.131,TAM,,ATL,W 23-19,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,24%,
29,2015,2015-12-13,13,14,28.138,TAM,,NOR,L 17-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,35%,
30,2015,2015-12-17,14,15,28.142,TAM,@,STL,L 23-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,27%,
31,2015,2015-12-27,15,16,28.152,TAM,,CHI,L 21-26,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,8,27%,
32,2015,2016-01-03,16,17,28.159,TAM,@,CAR,L 10-38,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,25%,
33,2016,2016-09-11,1,1,29.045,TAM,@,ATL,W 31-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,32%,
34,2016,2016-09-18,2,2,29.052,TAM,@,ARI,L 7-40,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,26%,
35,2016,2016-09-25,3,3,29.059,TAM,,LAR,L 32-37,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,26%,
36,2016,2016-10-02,4,4,29.066,TAM,,DEN,L 7-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,29%,
37,2016,2016-10-10,5,5,29.074,TAM,@,CAR,W 17-14,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,40%,
38,2016,2016-10-23,6,7,29.087,TAM,@,SFO,W 34-17,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,33%,
39,2016,2016-10-30,7,8,29.094,TAM,,OAK,L 24-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,32%,
