Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,MIN,@,NYG,W 28-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,MIN,,SFO,W 23-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,24.04,MIN,,HOU,W 34-7,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,13,19%,19,73%,
4.0,2024.0,2024-09-29,4.0,4.0,24.047,MIN,@,GNB,W 31-29,,,,,,,,,,,,,,0,0%,0,0%,17,59%,
5.0,2024.0,2024-10-06,5.0,5.0,,MIN,,NYJ,W 23-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6.0,2024.0,2024-10-20,6.0,7.0,24.068,MIN,,DET,L 29-31,,,,,,,,,,,,,,0,0%,0,0%,20,65%,
7.0,2024.0,2024-10-24,7.0,8.0,24.072,MIN,@,LAR,L 20-30,,,,,,,,,,,,,,0,0%,0,0%,17,68%,
8.0,2024.0,2024-11-03,8.0,9.0,24.082,MIN,,IND,W 21-13,,,,,,,,,,,,,,0,0%,0,0%,11,50%,
9.0,2024.0,2024-11-10,9.0,10.0,24.089,MIN,@,JAX,W 12-7,,,,,,,,,,,,,,0,0%,0,0%,14,74%,
10.0,2024.0,2024-11-17,10.0,11.0,24.096,MIN,@,TEN,W 23-13,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,22,85%,
11.0,2024.0,2024-11-24,11.0,12.0,24.103,MIN,@,CHI,W 30-27,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,23,74%,
