Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.166,MIN,,GNB,W 23-7,,,,,,,,,,,,,,0,0%,0,0%,17,74%,
2,2022,2022-09-19,2,2,22.174,MIN,@,PHI,L 7-24,,,,,,,,,,,,,,0,0%,0,0%,15,71%,
3,2022,2022-09-25,3,3,22.180,MIN,,DET,W 28-24,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,16,57%,
4,2022,2022-10-02,4,4,22.187,MIN,@,NOR,W 28-25,,,,,,,,,,,,,,0,0%,0,0%,20,65%,
5,2022,2022-10-09,5,5,22.194,MIN,,CHI,W 29-22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,12%,13,57%,
6,2022,2022-10-16,6,6,22.201,MIN,@,MIA,W 24-16,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,2,3%,24,77%,
7,2022,2022-10-30,7,8,22.215,MIN,,ARI,W 34-26,,,,,,,,,,,,,,0,0%,3,4%,20,67%,
8,2022,2022-11-06,8,9,22.222,MIN,@,WAS,W 20-17,,,,,,,,,,,,,,0,0%,3,5%,20,71%,
9,2022,2022-11-13,9,10,22.229,MIN,@,BUF,W 33-30,,,,,,,,,,,,,,0,0%,0,0%,21,64%,
10,2022,2022-11-20,10,11,22.236,MIN,,DAL,L 3-40,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,15,21%,19,68%,
11,2022,2022-11-24,11,12,22.240,MIN,,NWE,W 33-26,,,,,,,,,,,,,,0,0%,0,0%,21,64%,
12,2022,2022-12-04,12,13,22.250,MIN,,NYJ,W 27-22,,,,,,,,,,,,,,0,0%,4,5%,21,66%,
13,2022,2022-12-11,13,14,22.257,MIN,@,DET,L 23-34,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,17%,21,73%,
14,2022,2022-12-17,14,15,22.263,MIN,,IND,W 39-36,,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0%,21,27%,27,63%,
15,2022,2022-12-24,15,16,22.270,MIN,,NYG,W 27-24,,0.0,1,0,1,0,0,0,0,1,1,12,0,0,0%,27,39%,6,21%,
16,2022,2023-01-01,16,17,22.278,MIN,@,GNB,L 17-41,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0%,26,41%,4,14%,
17,2022,2023-01-08,17,18,,MIN,@,CHI,W 29-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2023,2023-09-10,1,1,23.165,MIN,,TAM,L 17-20,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,2,3%,12,43%,
19,2023,2023-09-14,2,2,23.169,MIN,@,PHI,L 28-34,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,14,18%,18,62%,
20,2023,2023-09-24,3,3,23.179,MIN,,LAC,L 24-28,,,,,,,,,,,,,,0,0%,0,0%,15,60%,
21,2023,2023-10-01,4,4,23.186,MIN,@,CAR,W 21-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,2,3%,14,64%,
22,2023,2023-10-08,5,5,23.193,MIN,,KAN,L 20-27,,,,,,,,,,,,,,0,0%,0,0%,12,50%,
