Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,MIN,,SFO,W 24-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2018,2018-09-16,2,2,23.001,MIN,@,GNB,T 29-29,,0.0,0,0,0,,,0,0,0,0,0,0,32,44%,0,0%,6,16%,
3,2018,2018-09-23,3,3,23.008,MIN,,BUF,L 6-27,,0.0,0,0,0,,,0,0,0,0,0,0,47,71%,0,0%,0,0%,
4,2018,2018-09-27,4,4,23.012,MIN,@,LAR,L 31-38,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,15%,
5,2018,2018-10-07,5,5,23.022,MIN,@,PHI,W 23-21,,0.0,0,0,0,,,0,0,0,0,0,0,41,66%,0,0%,7,26%,
6,2018,2018-10-14,6,6,23.029,MIN,,ARI,W 27-17,*,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,5,17%,
7,2018,2018-10-21,7,7,23.036,MIN,@,NYJ,W 37-17,*,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,8,21%,
8,2018,2018-10-28,8,8,23.043,MIN,,NOR,L 20-30,*,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,3,12%,
9,2018,2018-11-04,9,9,23.050,MIN,,DET,W 24-9,*,0.0,0,0,0,,,0,0,0,0,0,0,49,100%,0,0%,4,15%,
10,2018,2018-11-18,10,11,23.064,MIN,@,CHI,L 20-25,*,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,2,9%,
11,2018,2018-11-25,11,12,23.071,MIN,,GNB,W 24-17,*,0.0,0,0,0,,,0,0,0,0,0,0,54,77%,0,0%,5,18%,
12,2018,2018-12-02,12,13,23.078,MIN,@,NWE,L 10-24,*,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,3,12%,
13,2018,2018-12-10,13,14,23.086,MIN,@,SEA,L 7-21,*,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,0,0%,
14,2018,2018-12-16,14,15,23.092,MIN,,MIA,W 41-17,*,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,7,22%,
15,2018,2018-12-23,15,16,23.099,MIN,@,DET,W 27-9,*,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,5,17%,
16,2018,2018-12-30,16,17,23.106,MIN,,CHI,L 10-24,*,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,2,9%,
17,2019,2019-09-08,1,1,23.358,MIN,,ATL,W 28-12,*,,,,,,,0,,,0,0,0,54,100%,0,0%,4,18%,
