Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,23.154,WAS,,PHI,L 17-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,69%,
2,2017,2017-09-17,2,2,23.161,WAS,@,LAR,W 27-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,21,68%,
3,2017,2017-09-24,3,3,23.168,WAS,,OAK,W 27-10,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,8%,21,72%,
4,2017,2017-10-02,4,4,23.176,WAS,@,KAN,L 20-29,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,17%,24,86%,
5,2017,2017-10-15,5,6,23.189,WAS,,SFO,W 26-24,,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,34,47%,20,67%,
6,2017,2017-10-23,6,7,23.197,WAS,@,PHI,L 24-34,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,4,12%,
7,2017,2017-10-29,7,8,23.203,WAS,,DAL,L 19-33,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,61%,
8,2017,2017-11-05,8,9,23.210,WAS,@,SEA,W 17-14,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,71%,
9,2017,2017-11-12,9,10,23.217,WAS,,MIN,L 30-38,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,59%,
10,2017,2017-11-19,10,11,23.224,WAS,@,NOR,L 31-34,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,27,82%,
11,2017,2017-11-23,11,12,23.228,WAS,,NYG,W 20-10,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,87%,
12,2017,2017-11-30,12,13,23.235,WAS,@,DAL,L 14-38,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,93%,
13,2017,2017-12-10,13,14,23.245,WAS,@,LAC,L 13-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,29,94%,
14,2017,2017-12-17,14,15,23.252,WAS,,ARI,W 20-15,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,87%,
15,2017,2017-12-24,15,16,23.259,WAS,,DEN,W 27-11,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,21,81%,
16,2017,2017-12-31,16,17,23.266,WAS,@,NYG,L 10-18,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,28,90%,
17,2018,2018-09-09,1,1,24.153,WAS,@,ARI,W 24-6,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,87%,11,55%,
18,2018,2018-09-16,2,2,24.160,WAS,,IND,L 9-21,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,64%,9,36%,
19,2018,2018-09-23,3,3,24.167,WAS,,GNB,W 31-17,*,0.0,3,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,58,84%,8,28%,
20,2018,2018-10-08,4,5,24.182,WAS,@,NOR,L 19-43,,0.0,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,44,67%,0,0%,
21,2018,2018-10-14,5,6,24.188,WAS,,CAR,W 23-17,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,87%,3,12%,
22,2018,2018-10-21,6,7,24.195,WAS,,DAL,W 20-17,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,88%,1,4%,
23,2018,2018-10-28,7,8,24.202,WAS,@,NYG,W 20-13,,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,77%,1,3%,
24,2018,2018-11-04,8,9,24.209,WAS,,ATL,L 14-38,,0.0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,45,66%,2,8%,
25,2018,2018-11-11,9,10,24.216,WAS,@,TAM,W 16-3,*,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,96%,0,0%,
26,2018,2018-11-18,10,11,24.223,WAS,,HOU,L 21-23,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,90%,0,0%,
27,2018,2018-11-22,11,12,24.227,WAS,@,DAL,L 23-31,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,66%,6,19%,
28,2018,2018-12-03,12,13,24.238,WAS,@,PHI,L 13-28,*,0.0,7,2,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0%,52,69%,0,0%,
29,2018,2018-12-09,13,14,24.244,WAS,,NYG,L 16-40,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,98%,0,0%,
30,2018,2018-12-16,14,15,24.251,WAS,@,JAX,W 16-13,,0.0,0,1,1,0,0,1,16,0,1,0,0,0,0,0,0,0,0%,47,90%,0,0%,
31,2018,2018-12-22,15,16,24.257,WAS,@,TEN,L 16-25,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,75%,0,0%,
32,2018,2018-12-30,16,17,24.265,WAS,,PHI,L 0-24,*,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,0,0%,
33,2019,2019-09-08,,1,,WAS,@,PHI,L 27-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2019,2019-09-15,,2,,WAS,,DAL,L 21-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2019,2019-09-23,3,3,25.167,WAS,,CHI,L 15-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,95%,0,0%,
36,2019,2019-09-29,4,4,25.173,WAS,@,NYG,L 3-24,,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,62%,0,0%,
37,2019,2019-10-06,5,5,25.180,WAS,,NWE,L 7-33,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,49%,0,0%,
38,2019,2019-10-13,6,6,25.187,WAS,@,MIA,W 17-16,,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,81%,0,0%,
39,2019,2019-10-20,7,7,25.194,WAS,,SFO,L 0-9,*,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,98%,0,0%,
40,2019,2019-10-24,8,8,25.198,WAS,@,MIN,L 9-19,,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,92%,0,0%,
41,2019,2019-11-03,9,9,25.208,WAS,@,BUF,L 9-24,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,73%,1,4%,
42,2019,2019-11-17,10,11,25.222,WAS,,NYJ,L 17-34,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,59%,3,10%,
43,2019,2019-11-24,11,12,25.229,WAS,,DET,W 19-16,*,0.0,5,1,6,0,0,2,6,0,2,0,0,0,0,0,0,0,0%,62,84%,5,17%,
