Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,MIN,@,NYG,W 28-6,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,MIN,,SFO,W 23-17,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,MIN,,HOU,W 34-7,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,MIN,@,GNB,W 31-29,Did Not Play
5.0,2024.0,2024-10-06,5.0,5.0,,MIN,,NYJ,W 23-17,Did Not Play
6.0,2024.0,2024-10-20,6.0,7.0,,MIN,,DET,L 29-31,Did Not Play
7.0,2024.0,2024-10-24,7.0,8.0,,MIN,@,LAR,L 20-30,Did Not Play
8.0,2024.0,2024-11-03,8.0,9.0,,MIN,,IND,W 21-13,Did Not Play
9.0,2024.0,2024-11-10,9.0,10.0,,MIN,@,JAX,W 12-7,Did Not Play
10.0,2024.0,2024-11-17,10.0,11.0,,MIN,@,TEN,W 23-13,Did Not Play
11.0,2024.0,2024-11-24,11.0,12.0,,MIN,@,CHI,W 30-27,Did Not Play
