Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-09-09,1,1,23.220,MIN,,JAX,W 26-23,*,0,0,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,77,97%,12,38%,
2,2012,2012-09-16,2,2,23.227,MIN,@,IND,L 20-23,*,0,0,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,100%,13,43%,
3,2012,2012-09-23,3,3,23.234,MIN,,SFO,W 24-13,*,0,0,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,100%,12,52%,
4,2012,2012-09-30,4,4,23.241,MIN,@,DET,W 20-13,*,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,78,100%,10,36%,
5,2012,2012-10-07,5,5,23.248,MIN,,TEN,W 30-7,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,18,25%,2,8%,
6,2012,2012-10-14,6,6,23.255,MIN,@,WAS,L 26-38,*,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,100%,8,28%,
7,2012,2012-10-21,7,7,23.262,MIN,,ARI,W 21-14,*,1,6,0.0,5,1,6,0,0,1,31,1,1,0,0,0,0,0,0,0,0%,71,100%,6,23%,
8,2012,2012-10-25,8,8,23.266,MIN,,TAM,L 17-36,*,0,0,0.0,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,97%,6,18%,
9,2012,2012-11-04,9,9,23.276,MIN,@,SEA,L 20-30,*,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,9,33%,
10,2012,2012-11-11,10,10,23.283,MIN,,DET,W 34-24,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,5,15%,
11,2012,2012-11-25,11,12,23.297,MIN,@,CHI,L 10-28,*,0,0,0.0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,62%,8,31%,
12,2012,2012-12-02,12,13,23.304,MIN,@,GNB,L 14-23,*,0,0,0.0,8,3,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,82,100%,11,39%,
13,2012,2012-12-09,13,14,23.311,MIN,,CHI,W 21-14,*,1,6,0.0,5,2,7,0,1,1,56,1,1,0,0,0,0,0,0,0,0%,74,95%,10,40%,
14,2012,2012-12-16,14,15,23.318,MIN,@,STL,W 36-22,*,0,0,0.0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,81,100%,9,29%,
15,2012,2012-12-23,15,16,23.325,MIN,@,HOU,W 23-6,*,0,0,1.0,7,0,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0%,55,98%,6,22%,
16,2012,2012-12-30,16,17,23.332,MIN,,GNB,W 37-34,*,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,92%,5,16%,
17,2013,2013-09-08,1,1,24.218,MIN,@,DET,L 24-34,*,0,0,0.0,7,3,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0%,80,100%,13,39%,
18,2013,2013-09-15,2,2,24.225,MIN,@,CHI,L 30-31,*,0,0,0.0,8,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,67,100%,9,30%,
19,2013,2013-09-22,3,3,24.232,MIN,,CLE,L 27-31,*,0,0,0.0,5,0,5,1,0,1,4,0,1,0,0,0,0,0,0,0,0%,73,100%,15,42%,
20,2013,2013-09-29,4,4,24.239,MIN,,PIT,W 34-27,*,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,100%,9,27%,
21,2013,2013-10-13,5,6,24.253,MIN,,CAR,L 10-35,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,66%,6,26%,
22,2013,2013-10-21,,7,,MIN,@,NYG,L 7-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
23,2013,2013-10-27,,8,,MIN,,GNB,L 31-44,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2013,2013-11-03,,9,,MIN,@,DAL,L 23-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2013,2013-11-07,,10,,MIN,,WAS,W 34-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
26,2013,2013-11-17,,11,,MIN,@,SEA,L 20-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
27,2013,2013-11-24,,12,,MIN,@,GNB,T 26-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
28,2013,2013-12-01,,13,,MIN,,CHI,W 23-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
29,2013,2013-12-08,,14,,MIN,@,BAL,L 26-29,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
30,2013,2013-12-15,14,15,24.316,MIN,,PHI,W 48-30,,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,88%,10,29%,
31,2013,2013-12-22,15,16,24.323,MIN,@,CIN,L 14-42,*,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,78%,14,52%,
32,2013,2013-12-29,16,17,24.330,MIN,,DET,W 14-13,*,0,0,0.0,8,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,100%,13,50%,
33,2014,2014-09-07,1,1,25.217,MIN,@,STL,W 34-6,*,1,6,1.0,2,0,2,1,1,1,81,1,1,0,0,0,0,0,0,0,0%,59,88%,8,26%,
