Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.268,MIN,,TAM,L 17-20,,0,0,0.0,6,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,68%,14,50%,
2,2023,2023-09-14,2,2,22.272,MIN,@,PHI,L 28-34,*,0,0,0.5,5,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,61,79%,19,66%,
3,2023,2023-09-24,3,3,22.282,MIN,,LAC,L 24-28,*,0,0,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,62%,15,60%,
4,2023,2023-10-01,4,4,22.289,MIN,@,CAR,W 21-13,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,51%,12,55%,
5,2023,2023-10-08,5,5,22.296,MIN,,KAN,L 20-27,*,0,0,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,58%,16,67%,
6,2023,2023-10-15,6,6,22.303,MIN,@,CHI,W 19-13,,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,12,18%,13,50%,
7,2023,2023-10-23,7,7,22.311,MIN,,SFO,W 22-17,,0,0,,,,,,,,,,,,,,,,,0,0%,5,9%,15,68%,
8,2023,2023-10-29,8,8,22.317,MIN,@,GNB,W 24-10,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,31%,16,70%,
9,2023,2023-11-05,9,9,22.324,MIN,@,ATL,W 31-28,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,28%,27,82%,
10,2023,2023-11-12,10,10,22.331,MIN,,NOR,W 27-19,*,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,84%,22,76%,
11,2023,2023-11-19,11,11,22.338,MIN,@,DEN,L 20-21,*,0,0,0.0,6,3,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,55,100%,6,22%,
12,2023,2023-11-27,12,12,22.346,MIN,,CHI,L 10-12,*,0,0,1.0,7,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,7,35%,
