Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.335,LAC,,IND,W 30-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,33%,5,19%,
2,2019,2019-09-15,2,2,22.342,LAC,@,DET,L 10-13,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,43%,3,14%,
3,2019,2019-09-22,3,3,22.349,LAC,,HOU,L 20-27,,,,,,,,,,,,0,,,0,0,0,0,0%,23,39%,7,26%,
4,2019,2019-09-29,4,4,22.356,LAC,@,MIA,W 30-10,,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,50%,4,17%,
5,2019,2019-10-06,5,5,22.363,LAC,,DEN,L 13-20,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,14,23%,6,22%,
6,2019,2019-10-13,6,6,23.005,LAC,,PIT,L 17-24,,,,,,,,,,,,0,,,0,0,0,0,0%,13,22%,5,19%,
7,2019,2019-10-20,7,7,23.012,LAC,@,TEN,L 20-23,*,,,,,,,,,,,0,,,0,0,0,0,0%,43,69%,7,29%,
8,2019,2019-10-27,8,8,23.019,LAC,@,CHI,W 17-16,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,53%,8,31%,
9,2019,2019-11-03,9,9,23.026,LAC,,GNB,W 26-11,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,50%,3,12%,
10,2019,2019-11-07,10,10,23.030,LAC,@,OAK,L 24-26,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,22%,7,24%,
11,2019,2019-11-18,11,11,23.041,LAC,,KAN,L 17-24,,,,,,,,,,,,0,,,0,0,0,0,0%,26,39%,6,22%,
12,2019,2019-12-01,12,13,23.054,LAC,@,DEN,L 20-23,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,30%,5,16%,
13,2019,2019-12-08,,14,,LAC,@,JAX,W 45-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2019,2019-12-15,14,15,23.068,LAC,,MIN,L 10-39,,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,8,32%,
15,2019,2019-12-22,15,16,23.075,LAC,,OAK,L 17-24,,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,23,37%,4,15%,
16,2019,2019-12-29,16,17,23.082,LAC,@,KAN,L 21-31,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,31%,5,22%,
17,2020,2020-09-13,1,1,23.341,LAC,@,CIN,W 16-13,,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,4,14%,
18,2020,2020-09-20,2,2,23.348,LAC,,KAN,L 20-23,,0.0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,54,70%,7,25%,
19,2020,2020-09-27,3,3,23.355,LAC,,CAR,L 16-21,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,90%,7,27%,
20,2020,2020-10-04,4,4,23.362,LAC,@,TAM,L 31-38,*,0.0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,71%,6,19%,
21,2020,2020-10-12,5,5,24.004,LAC,@,NOR,L 27-30,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,78%,9,24%,
22,2020,2020-10-25,6,7,24.017,LAC,,JAX,W 39-29,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,51%,1,3%,
23,2020,2020-11-01,7,8,24.024,LAC,@,DEN,L 30-31,*,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,57%,6,19%,
24,2020,2020-11-08,8,9,24.031,LAC,,LVR,L 26-31,*,1.0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0%,42,82%,6,20%,
