Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,22.325,CHI,@,HOU,L 14-23,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,23%,0,0%,
2,2016,2016-09-19,2,2,22.333,CHI,,PHI,L 14-29,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,31%,1,4%,
3,2016,2016-09-25,3,3,22.339,CHI,@,DAL,L 17-31,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,29%,4,15%,
4,2016,2016-10-02,,4,,CHI,,DET,W 17-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2016,2016-10-09,5,5,22.353,CHI,@,IND,L 23-29,,1.0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,0,0%,
6,2016,2016-10-16,6,6,22.360,CHI,,JAX,L 16-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,33%,3,11%,
7,2016,2016-10-20,7,7,22.364,CHI,@,GNB,L 10-26,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,29%,6,25%,
8,2016,2016-10-31,8,8,23.009,CHI,,MIN,W 20-10,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,36%,3,12%,
9,2016,2016-11-13,9,10,23.022,CHI,@,TAM,L 10-36,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,51%,8,29%,
10,2016,2016-11-20,10,11,23.029,CHI,@,NYG,L 16-22,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,28%,4,14%,
11,2016,2016-11-27,11,12,23.036,CHI,,TEN,L 21-27,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,24%,5,19%,
12,2016,2016-12-04,,13,,CHI,,SFO,W 26-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2016,2016-12-11,13,14,23.050,CHI,@,DET,L 17-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,29%,4,18%,
14,2016,2016-12-18,14,15,23.057,CHI,,GNB,L 27-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,0,0%,
15,2016,2016-12-24,15,16,23.063,CHI,,WAS,L 21-41,,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,42%,0,0%,
16,2016,2017-01-01,16,17,23.071,CHI,@,MIN,L 10-38,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,37%,6,27%,
17,2017,2017-09-10,1,1,23.323,CHI,,ATL,L 17-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,21,36%,0,0%,
18,2017,2017-09-17,2,2,23.330,CHI,@,TAM,L 7-29,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,37%,7,32%,
19,2017,2017-09-24,3,3,23.337,CHI,,PIT,W 23-17,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,4,15%,
20,2017,2017-09-28,4,4,23.341,CHI,@,GNB,L 14-35,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,17,31%,5,19%,
21,2017,2017-10-09,5,5,23.352,CHI,,MIN,L 17-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,26%,3,11%,
22,2017,2017-10-15,6,6,23.358,CHI,@,BAL,W 27-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,25,34%,4,11%,
23,2017,2017-10-22,7,7,24.000,CHI,,CAR,W 17-3,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,54%,1,5%,
24,2017,2017-10-29,8,8,24.007,CHI,@,NOR,L 12-20,,0.0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,21,34%,7,27%,
25,2017,2017-11-12,9,10,24.021,CHI,,GNB,L 16-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,22,33%,6,21%,
26,2017,2017-11-19,10,11,24.028,CHI,,DET,L 24-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,14%,5,17%,
27,2017,2017-11-26,11,12,24.035,CHI,@,PHI,L 3-31,,1.0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,47,60%,5,22%,
28,2017,2017-12-03,12,13,24.042,CHI,,SFO,L 14-15,,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,56%,5,22%,
29,2017,2017-12-10,13,14,24.049,CHI,@,CIN,W 33-7,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,31,57%,2,8%,
30,2017,2017-12-16,14,15,24.055,CHI,@,DET,L 10-20,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,51%,4,17%,
