Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,21.226,MIN,,TAM,L 17-20,,6,4,61,15.25,1,66.7%,10.17,0,0,,0,1,6,36,56%,0,0%,0,0%,
2,2023,2023-09-14,2,2,21.230,MIN,@,PHI,L 28-34,*,5,3,72,24.00,1,60.0%,14.40,0,0,,0,1,6,40,69%,0,0%,0,0%,
3,2023,2023-09-24,3,3,21.240,MIN,,LAC,L 24-28,,8,6,52,8.67,0,75.0%,6.50,0,0,,0,0,0,58,71%,0,0%,0,0%,
4,2023,2023-10-01,4,4,21.247,MIN,@,CAR,W 21-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,28,58%,0,0%,0,0%,
5,2023,2023-10-08,5,5,21.254,MIN,,KAN,L 20-27,,9,6,64,10.67,1,66.7%,7.11,0,0,,0,1,6,54,75%,0,0%,0,0%,
6,2023,2023-10-15,6,6,21.261,MIN,@,CHI,W 19-13,*,5,3,28,9.33,1,60.0%,5.60,0,0,,0,1,6,49,86%,0,0%,0,0%,
7,2023,2023-10-23,7,7,21.269,MIN,,SFO,W 22-17,*,10,7,123,17.57,2,70.0%,12.30,0,0,,0,2,12,52,74%,0,0%,0,0%,
8,2023,2023-10-29,8,8,21.275,MIN,@,GNB,W 24-10,*,8,7,82,11.71,1,87.5%,10.25,1,2,2.00,0,1,6,68,94%,0,0%,0,0%,
9,2023,2023-11-05,9,9,21.282,MIN,@,ATL,W 31-28,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,73,97%,0,0%,0,0%,
10,2023,2023-11-12,10,10,21.289,MIN,,NOR,W 27-19,*,7,4,69,17.25,0,57.1%,9.86,0,0,,0,0,0,71,97%,0,0%,0,0%,
11,2023,2023-11-19,11,11,21.296,MIN,@,DEN,L 20-21,*,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,0,70,95%,0,0%,0,0%,
12,2023,2023-11-27,12,12,21.304,MIN,,CHI,L 10-12,*,10,6,39,6.50,0,60.0%,3.90,0,0,,0,0,0,53,96%,0,0%,0,0%,
13,2023,2023-12-10,13,14,21.317,MIN,@,LVR,W 3-0,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,69,96%,0,0%,0,0%,
14,2023,2023-12-16,14,15,21.323,MIN,@,CIN,L 24-27,*,6,6,111,18.50,2,100.0%,18.50,0,0,,0,2,12,62,91%,0,0%,0,0%,
15,2023,2023-12-24,15,16,21.331,MIN,,DET,L 24-30,*,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,21,38%,0,0%,0,0%,
16,2023,2023-12-31,16,17,21.338,MIN,,GNB,L 10-33,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,49,92%,0,0%,0,0%,
17,2023,2024-01-07,17,18,21.345,MIN,@,DET,L 20-30,*,8,4,57,14.25,1,50.0%,7.13,0,0,,0,1,6,68,93%,0,0%,0,0%,
18,2024,2024-09-08,1,1,22.225,MIN,@,NYG,W 28-6,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,28,51%,0,0%,0,0%,
19,2024,2024-09-15,2,2,,MIN,,SFO,W 23-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,MIN,,HOU,W 34-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,22.246,MIN,@,GNB,W 31-29,*,4,3,72,24.00,1,75.0%,18.00,1,7,7.00,1,2,12,45,66%,0,0%,1,3%,
22,2024,2024-10-06,5,5,22.253,MIN,,NYJ,W 23-17,*,8,3,36,12.00,0,37.5%,4.50,0,0,,0,0,0,65,89%,0,0%,0,0%,
23,2024,2024-10-20,6,7,22.267,MIN,,DET,L 29-31,*,4,3,66,22.00,0,75.0%,16.50,0,0,,0,0,0,51,85%,0,0%,0,0%,
24,2024,2024-10-24,7,8,22.271,MIN,@,LAR,L 20-30,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,46,92%,0,0%,0,0%,
25,2024,2024-11-03,8,9,22.281,MIN,,IND,W 21-13,*,5,5,42,8.40,1,100.0%,8.40,1,9,9.00,0,1,6,67,92%,0,0%,0,0%,
26,2024,2024-11-10,9,10,22.288,MIN,@,JAX,W 12-7,*,5,2,25,12.50,0,40.0%,5.00,1,4,4.00,0,0,0,62,74%,0,0%,0,0%,
27,2024,2024-11-17,10,11,22.295,MIN,@,TEN,W 23-13,*,8,3,61,20.33,1,37.5%,7.63,0,0,,0,1,6,44,60%,0,0%,0,0%,
28,2024,2024-11-24,11,12,22.302,MIN,@,CHI,W 30-27,*,9,8,162,20.25,1,88.9%,18.00,0,0,,0,1,6,67,94%,0,0%,0,0%,
