Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,22.118,PHI,,CLE,W 29-10,,0,0,0,,0,0.0%,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,9,31%,
2,2016,2016-09-19,2,2,22.126,PHI,@,CHI,W 29-14,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,43%,
3,2016,2016-09-25,3,3,22.132,PHI,,PIT,W 34-3,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,69%,
4,2016,2016-10-09,4,5,22.146,PHI,@,DET,L 23-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,62%,
5,2016,2016-10-16,5,6,22.153,PHI,@,WAS,L 20-27,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,70%,
6,2016,2016-10-23,6,7,22.160,PHI,,MIN,W 21-10,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,5,22%,
7,2016,2016-10-30,,8,,PHI,@,DAL,L 23-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2016,2016-11-06,,9,,PHI,@,NYG,L 23-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2016,2016-11-13,,10,,PHI,,ATL,W 24-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2016,2016-11-20,10,11,22.188,PHI,@,SEA,L 15-26,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,76%,
11,2016,2016-11-28,11,12,22.196,PHI,,GNB,L 13-27,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,64%,
12,2016,2016-12-04,12,13,22.202,PHI,@,CIN,L 14-32,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,60%,
13,2016,2016-12-11,,14,,PHI,,WAS,L 22-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2016,2016-12-18,14,15,22.216,PHI,@,BAL,L 26-27,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,64%,
15,2016,2016-12-22,15,16,22.220,PHI,,NYG,W 24-19,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
16,2016,2017-01-01,16,17,22.230,PHI,,DAL,W 27-13,,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
17,2017,2017-09-10,1,1,23.117,PHI,@,WAS,W 30-17,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,65%,
18,2017,2017-09-17,2,2,23.124,PHI,@,KAN,L 20-27,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,63%,
19,2017,2017-09-24,3,3,23.131,PHI,,NYG,W 27-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,57%,
20,2017,2017-10-01,4,4,23.138,PHI,@,LAC,W 26-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,67%,
21,2017,2017-10-08,5,5,23.145,PHI,,ARI,W 34-7,,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,12%,20,71%,
22,2017,2017-10-12,6,6,23.149,PHI,@,CAR,W 28-23,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,78%,
23,2017,2017-10-23,7,7,23.160,PHI,,WAS,W 34-24,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,25,78%,
24,2017,2017-10-29,8,8,23.166,PHI,,SFO,W 33-10,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,84%,
25,2017,2017-11-05,9,9,23.173,PHI,,DEN,W 51-23,,0,0,0,,0,0.0%,,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,28,78%,
26,2017,2017-11-19,10,11,23.187,PHI,@,DAL,W 37-9,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,81%,
27,2017,2017-11-26,11,12,23.194,PHI,,CHI,W 31-3,,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,17,74%,
28,2017,2017-12-03,12,13,23.201,PHI,@,SEA,L 10-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,20,91%,
29,2017,2017-12-10,13,14,23.208,PHI,@,LAR,W 43-35,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,67%,
30,2017,2017-12-17,14,15,23.215,PHI,@,NYG,W 34-29,,0,0,0,,0,0.0%,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,2%,25,81%,
31,2017,2017-12-25,15,16,23.223,PHI,,OAK,W 19-10,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,85%,
32,2017,2017-12-31,16,17,23.229,PHI,,DAL,L 0-6,,0,0,0,,0,0.0%,,0.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,53,78%,18,90%,
33,2018,2018-09-06,1,1,24.113,PHI,,ATL,W 18-12,,0,0,0,,0,0.0%,,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,40%,22,81%,
34,2018,2018-09-16,2,2,24.123,PHI,@,TAM,L 21-27,*,0,0,0,,0,0.0%,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,38%,20,71%,
