Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.067,DET,@,ARI,T 27-27,*,9,6,131,21.83,1,66.7%,14.56,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,71%,0,0%,0,0%,
2,2019,2019-09-15,2,2,22.074,DET,,LAC,W 13-10,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,78%,0,0%,0,0%,
3,2019,2019-09-22,3,3,22.081,DET,@,PHI,W 27-24,,4,1,1,1.00,0,25.0%,0.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,64%,0,0%,0,0%,
4,2019,2019-09-29,4,4,22.088,DET,,KAN,L 30-34,*,3,3,27,9.00,1,100.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,54%,0,0%,0,0%,
5,2019,2019-10-14,5,6,22.103,DET,@,GNB,L 22-23,*,6,4,21,5.25,0,66.7%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,56%,0,0%,0,0%,
6,2019,2019-10-20,6,7,22.109,DET,,MIN,L 30-42,*,5,3,32,10.67,0,60.0%,6.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,68%,0,0%,0,0%,
7,2019,2019-10-27,7,8,22.116,DET,,NYG,W 31-26,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,66%,0,0%,1,4%,
8,2019,2019-11-03,8,9,22.123,DET,@,OAK,L 24-31,,7,3,56,18.67,0,42.9%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,
9,2019,2019-11-10,9,10,22.130,DET,@,CHI,L 13-20,*,6,3,47,15.67,0,50.0%,7.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,57%,0,0%,0,0%,
10,2019,2019-11-17,10,11,22.137,DET,,DAL,L 27-35,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,76%,0,0%,1,3%,
11,2019,2019-11-24,11,12,22.144,DET,@,WAS,L 16-19,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,
12,2019,2019-11-28,12,13,22.148,DET,,CHI,L 20-24,*,11,6,18,3.00,0,54.5%,1.64,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,58%,0,0%,0,0%,
13,2019,2019-12-08,,14,,DET,@,MIN,L 7-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2019,2019-12-15,,15,,DET,,TAM,L 17-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2019,2019-12-22,,16,,DET,@,DEN,L 17-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2019,2019-12-29,,17,,DET,,GNB,L 20-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2020,2020-09-13,1,1,23.072,DET,,CHI,L 23-27,*,5,5,56,11.20,1,100.0%,11.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,64%,0,0%,0,0%,
18,2020,2020-09-20,2,2,23.079,DET,@,GNB,L 21-42,*,4,4,62,15.50,0,100.0%,15.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,69%,0,0%,0,0%,
