Team,Player,Position,Age,Experience,College,Games_Played,XPM_total,XPM_avg,XPM_max,XPA_total,XPA_avg,XPA_max,XP%_total,XP%_avg,XP%_max,FGM_total,FGM_avg,FGM_max,FGA_total,FGA_avg,FGA_max,FG%_total,FG%_avg,FG%_max,TD_total,TD_avg,TD_max,Pts_total,Pts_avg,Pts_max
Giants,Graham Gano,K,37.0,15,Florida St.,196,387.0,1.7916666666666667,6.0,406.0,1.8796296296296295,6.0,16480.1,76.29675925925925,100.0,327.0,1.5138888888888888,5.0,391.0,1.8101851851851851,6.0,14317.0,66.2824074074074,100.0,0.0,0.0,0.0,1368.0,6.333333333333333,17.0
Packers,Brandon McManus,K,33.0,10,Temple,167,325.0,1.9461077844311376,6.0,334.0,2.0,6.0,13508.4,80.88862275449101,100.0,260.0,1.5568862275449102,6.0,319.0,1.910179640718563,6.0,11915.2,71.34850299401198,100.0,0.0,0.0,0.0,1105.0,6.616766467065868,18.0
Seahawks,Jason Myers,K,33.0,9,Marist,148,338.0,2.2837837837837838,6.0,367.0,2.47972972972973,7.0,13110.9,88.58716216216216,100.0,245.0,1.6554054054054055,7.0,287.0,1.9391891891891893,7.0,11181.8,75.5527027027027,100.0,0.0,0.0,0.0,1073.0,7.25,24.0
Bears,Cairo Santos,K,33.0,10,Tulane,142,297.0,2.020408163265306,6.0,313.0,2.129251700680272,6.0,12083.4,82.2,100.0,232.0,1.5782312925170068,7.0,271.0,1.8435374149659864,7.0,10510.1,71.49727891156463,100.0,0.0,0.0,0.0,993.0,6.755102040816326,21.0
Eagles,Jake Elliott,K,29.0,7,Memphis,123,296.0,2.3870967741935485,6.0,309.0,2.4919354838709675,7.0,11082.5,89.375,100.0,182.0,1.467741935483871,5.0,214.0,1.7258064516129032,5.0,8983.6,72.4483870967742,100.0,0.0,0.0,0.0,842.0,6.790322580645161,16.0
Falcons,Younghoe Koo,K,30.0,7,Georgia Southern,89,170.0,1.8888888888888888,4.0,177.0,1.9666666666666666,4.0,7816.7,86.85222222222222,100.0,173.0,1.9222222222222223,5.0,200.0,2.2222222222222223,5.0,7073.4,78.59333333333333,100.0,0.0,0.0,0.0,689.0,7.655555555555556,19.0
Buccaneers,Chase McLaughlin,K,28.0,5,Illinois,77,153.0,1.9125,6.0,157.0,1.9625,6.0,6450.0,80.625,100.0,113.0,1.4125,5.0,134.0,1.675,5.0,5283.5,66.04375,100.0,0.0,0.0,0.0,492.0,6.15,18.0
Panthers,Eddy Piñeiro,K,29.0,5,ASA College (FL)Florida,64,101.0,1.507462686567164,4.0,109.0,1.626865671641791,4.0,5133.4,76.61791044776119,100.0,105.0,1.5671641791044777,4.0,117.0,1.7462686567164178,5.0,5201.8,77.63880597014925,100.0,0.0,0.0,0.0,416.0,6.208955223880597,13.0
Commanders,Austin Seibert,K,28.0,5,Oklahoma,39,78.0,1.1470588235294117,5.0,84.0,1.2352941176470589,5.0,2833.4,41.66764705882353,100.0,70.0,1.0294117647058822,7.0,83.0,1.2205882352941178,7.0,2896.7,42.5985294117647,100.0,0.0,0.0,0.0,288.0,4.235294117647059,21.0
Cowboys,Brandon Aubrey,K,29.0,1,Notre Dame,27,63.0,2.3333333333333335,7.0,66.0,2.4444444444444446,7.0,2435.0,90.18518518518519,100.0,59.0,2.185185185185185,5.0,64.0,2.3703703703703702,5.0,2416.7,89.5074074074074,100.0,0.0,0.0,0.0,240.0,8.88888888888889,16.0
Saints,Blake Grupe,K,26.0,1,Arkansas St.Notre Dame,28,66.0,2.357142857142857,6.0,68.0,2.4285714285714284,6.0,2233.3,79.76071428571429,100.0,48.0,1.7142857142857142,5.0,56.0,2.0,6.0,2075.0,74.10714285714286,100.0,0.0,0.0,0.0,210.0,7.5,17.0
49ers,Jake Moody,K,25.0,1,Michigan,25,77.0,2.75,6.0,78.0,2.7857142857142856,6.0,2466.7,88.09642857142856,100.0,39.0,1.3928571428571428,6.0,47.0,1.6785714285714286,6.0,1783.3,63.68928571428571,100.0,0.0,0.0,0.0,194.0,6.928571428571429,20.0
Cardinals,Chad Ryland,K,25.0,1,Eastern MichiganMaryland,24,37.0,1.5416666666666667,4.0,38.0,1.5833333333333333,4.0,1766.7,73.6125,100.0,29.0,1.2083333333333333,3.0,40.0,1.6666666666666667,4.0,1525.1,63.54583333333333,100.0,0.0,0.0,0.0,124.0,5.166666666666667,11.0
Lions,Jake Bates,K,25.0,1,Texas St.Arkansas,11,42.0,3.8181818181818183,7.0,43.0,3.909090909090909,7.0,1066.7,96.97272727272728,100.0,16.0,1.4545454545454546,4.0,16.0,1.4545454545454546,4.0,900.0,81.81818181818181,100.0,0.0,0.0,0.0,90.0,8.181818181818182,17.0
Rams,Joshua Karty,K,22.0,Rook,Stanford,11,21.0,1.9090909090909092,4.0,23.0,2.090909090909091,4.0,816.7,74.24545454545455,100.0,16.0,1.4545454545454546,5.0,21.0,1.9090909090909092,6.0,563.3,51.209090909090904,100.0,0.0,0.0,0.0,69.0,6.2727272727272725,15.0
Vikings,John Parker Romo,K,27.0,1,Central ArkansasTulsaVirginia Tech,3,5.0,0.625,3.0,6.0,0.75,3.0,166.7,20.8375,100.0,8.0,1.0,4.0,8.0,1.0,4.0,300.0,37.5,100.0,0.0,0.0,0.0,29.0,3.625,12.0
