Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max
Commanders,Zach Ertz,TE,34.0,11,Stanford,162,0.0,0.0,0.0,1122.0,6.032258064516129,18.0,752.0,4.043010752688172,15.0,7862.0,42.26881720430107,152.0,1735.98,9.333225806451614,38.0,48.0,0.25806451612903225,2.0,10687.0,57.456989247311824,100.0,1168.07,6.279946236559139,29.0,,,,,,,,,,,,,,,,,,
49ers,George Kittle,TE,31.0,7,Iowa,107,0.0,0.0,0.0,698.0,5.5396825396825395,17.0,509.0,4.0396825396825395,15.0,6916.0,54.888888888888886,210.0,1464.86,11.625873015873015,38.67,45.0,0.35714285714285715,3.0,7773.9,61.69761904761904,100.0,1061.84,8.427301587301587,29.0,0.0,0.0,0.0,3.0,0.023809523809523808,1.0,0.0,0.0,0.0,3.0,0.023809523809523808,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bears,Marcedes Lewis,TE,40.0,18,UCLA,277,0.0,0.0,0.0,737.0,2.4566666666666666,12.0,437.0,1.4566666666666668,7.0,5115.0,17.05,103.0,2233.15,7.443833333333334,47.0,40.0,0.13333333333333333,3.0,13501.5,45.005,100.0,1583.45,5.2781666666666665,47.0,,,,,,,,,,,,,,,,,,
Eagles,Dallas Goedert,TE,29.0,6,South Dakota St.,90,0.0,0.0,0.0,461.0,4.229357798165138,12.0,338.0,3.1009174311926606,10.0,3976.0,36.477064220183486,170.0,973.63,8.932385321100917,33.0,23.0,0.21100917431192662,2.0,6350.6,58.26238532110092,100.0,753.53,6.913119266055046,32.0,0.0,0.0,0.0,5.0,0.045871559633027525,2.0,1.0,0.009174311926605505,1.0,6.0,0.05504587155963303,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bears,Gerald Everett,TE,30.0,7,South Alabama,116,0.0,0.0,0.0,435.0,3.5080645161290325,12.0,291.0,2.346774193548387,8.0,2863.0,23.088709677419356,136.0,1001.99,8.080564516129032,44.0,19.0,0.1532258064516129,2.0,7295.6,58.83548387096774,100.0,747.31,6.0266935483870965,39.0,0.0,0.0,0.0,1.0,0.008064516129032258,1.0,0.0,0.0,0.0,1.0,0.008064516129032258,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Seahawks,Noah Fant,TE,27.0,5,Iowa,89,0.0,0.0,0.0,387.0,4.117021276595745,11.0,279.0,2.9680851063829787,9.0,3090.0,32.87234042553192,115.0,925.38,9.844468085106383,38.33,14.0,0.14893617021276595,1.0,6218.6,66.15531914893617,100.0,707.41,7.52563829787234,31.5,0.0,0.0,0.0,2.0,0.02127659574468085,2.0,0.0,0.0,0.0,2.0,0.02127659574468085,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bears,Cole Kmet,TE,25.0,4,Notre Dame,76,0.0,0.0,0.0,330.0,4.342105263157895,11.0,240.0,3.1578947368421053,10.0,2434.0,32.026315789473685,107.0,672.21,8.844868421052633,26.75,18.0,0.23684210526315788,2.0,4933.6,64.91578947368421,100.0,498.06,6.553421052631579,22.5,0.0,0.0,0.0,1.0,0.013157894736842105,1.0,0.0,0.0,0.0,1.0,0.013157894736842105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Falcons,Kyle Pitts,TE,24.0,3,Florida,55,0.0,0.0,0.0,311.0,5.016129032258065,11.0,184.0,2.967741935483871,9.0,2543.0,41.016129032258064,163.0,740.37,11.941451612903226,34.5,9.0,0.14516129032258066,2.0,3307.6,53.34838709677419,100.0,451.92,7.289032258064516,20.38,0.0,0.0,0.0,3.0,0.04838709677419355,1.0,0.0,0.0,0.0,3.0,0.04838709677419355,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardinals,Trey McBride,TE,25.0,2,Colorado St.,43,0.0,0.0,0.0,225.0,5.0,15.0,171.0,3.8,12.0,1775.0,39.44444444444444,133.0,348.25,7.738888888888889,17.75,4.0,0.08888888888888889,1.0,2792.2,62.04888888888888,100.0,273.36,6.074666666666667,14.56,0.0,0.0,0.0,7.0,0.15555555555555556,2.0,1.0,0.022222222222222223,1.0,8.0,0.17777777777777778,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccaneers,Cade Otton,TE,25.0,2,Washington,44,0.0,0.0,0.0,205.0,4.555555555555555,11.0,139.0,3.088888888888889,9.0,1332.0,29.6,100.0,407.14,9.047555555555554,30.0,10.0,0.2222222222222222,2.0,2778.7,61.748888888888885,100.0,286.55,6.367777777777778,22.0,0.0,0.0,0.0,5.0,0.1111111111111111,2.0,3.0,0.06666666666666667,1.0,8.0,0.17777777777777778,3.0,0.0,0.0,0.0,0.0,0.0,0.0
