No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
74.0,Isaiah Adams,24.0,OL,9,0.0,316.0,6-4,Wilfrid LaurierGarden City (KS)Illinois,7/21/2000,Rook,,Arizona Cardinals / 3rd / 71st pick / 2024,AdamIs01
3.0,Budda Baker,28.0,S,11,11.0,195.0,5-10,Washington,1/10/1996,7,,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
51.0,Krys Barnes,26.0,LB,11,0.0,229.0,6-2,UCLA,4/2/1998,4,,,BarnKr00
68.0,Kelvin Beachum,35.0,OL,10,8.0,308.0,6-3,SMU,6/8/1989,12,,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
33.0,Trey Benson,21.0,RB,10,1.0,223.0,6-1,OregonFlorida St.,7/21/2003,Rook,,Arizona Cardinals / 3rd / 66th pick / 2024,BensTr01
32.0,Joey Blount,26.0,S,11,0.0,201.0,6-1,Virginia,11/16/1998,2,,,BlouJo00
46.0,Aaron Brewer,34.0,LS,11,0.0,232.0,6-5,San Diego St.,7/5/1990,12,,,BrewAa00
62.0,Evan Brown,28.0,OL,11,11.0,320.0,6-3,SMU,9/16/1996,5,,,BrowEv00
,Baron Browning,25.0,OLB,2,0.0,240.0,6-3,Ohio St.,2/19/1999,3,,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01
13.0,Kei'Trel Clark,23.0,CB,9,1.0,181.0,5-10,LibertyLouisville,3/19/2001,1,,Arizona Cardinals / 6th / 180th pick / 2023,ClarKe02
91.0,L.J. Collier,29.0,DL,11,9.0,291.0,6-2,TCU,9/12/1995,5,,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
25.0,Zaven Collins,25.0,OLB,11,11.0,260.0,6-4,Tulsa,5/19/1999,3,,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
63.0,Trystan Colon-Castillo,26.0,OL,11,6.0,313.0,6-3,Missouri,3/23/1998,4,,,ColoTr01
6.0,James Conner,29.0,RB,11,11.0,233.0,6-1,Pittsburgh,5/5/1995,7,,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
20.0,DeeJay Dallas,26.0,RB,11,0.0,214.0,5-10,Miami (FL),9/16/1998,4,,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
31.0,Emari Demercado,25.0,RB,11,0.0,215.0,5-9,Saddleback CollegeTCU,1/20/1999,1,,,DemeEm00
52.0,Victor Dimukeje,25.0,OLB,7,0.0,262.0,6-2,Duke,11/18/1999,3,,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
4.0,Greg Dortch,26.0,WR,11,2.0,175.0,5-7,Wake Forest,5/29/1998,5,,,DortGr01
72.0,Hjalte Froholdt,28.0,OL,11,11.0,310.0,6-5,Arkansas,8/20/1996,4,,New England Patriots / 4th / 118th pick / 2019,FrohHj00
59.0,Jon Gaines,25.0,OL,7,0.0,303.0,6-4,UCLA,5/24/1999,1,,Arizona Cardinals / 4th / 122nd pick / 2023,GainJo00
12.0,Blake Gillikin,26.0,P,11,0.0,196.0,6-2,Penn St.,1/21/1998,3,,,GillBl00
18.0,Marvin Harrison Jr.,22.0,WR,11,11.0,205.0,6-4,Ohio St.,8/11/2002,Rook,,Arizona Cardinals / 1st / 4th pick / 2024,HarrMa09
84.0,Elijah Higgins,24.0,TE,11,4.0,235.0,6-3,Stanford,10/27/2000,1,,Miami Dolphins / 6th / 197th pick / 2023,HiggEl00
70.0,Paris Johnson,23.0,OL,11,11.0,313.0,6-6,Ohio St.,7/3/2001,1,,Arizona Cardinals / 1st / 6th pick / 2023,JohnPa03
75.0,Christian Jones,24.0,OL,0,0.0,318.0,6-5,Texas,5/12/2000,Rook,,Arizona Cardinals / 5th / 162nd pick / 2024,JoneCh12
96.0,Naquan Jones,26.0,DT,6,0.0,313.0,6-3,Michigan St.,2/5/1998,3,,,JoneNa01
17.0,Zay Jones,29.0,WR,5,1.0,200.0,6-2,East Carolina,3/30/1995,7,,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00
98.0,Roy Lopez,27.0,DL,10,10.0,318.0,6-2,New Mexico St.Arizona,8/7/1997,3,,Houston Texans / 6th / 195th pick / 2021,LopeRo00
43.0,Jesse Luketa,25.0,OLB,7,1.0,253.0,6-3,Penn St.,1/15/1999,2,,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
85.0,Trey McBride,25.0,TE,10,10.0,246.0,6-4,Colorado St.,11/22/1999,2,,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
16.0,Max Melton,22.0,CB,11,1.0,193.0,5-11,Rutgers,4/15/2002,Rook,,Arizona Cardinals / 2nd / 43rd pick / 2024,MeltMa00
23.0,Sean Murphy-Bunting,27.0,CB,9,9.0,195.0,6-0,Central Michigan,6/19/1997,5,,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
1.0,Kyler Murray,27.0,QB,11,11.0,207.0,5-10,Texas A&MOklahoma,8/7/1997,5,,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
58.0,Julian Okwara,27.0,OLB,8,0.0,250.0,6-4,Notre Dame,12/27/1997,4,,Detroit Lions / 3rd / 67th pick / 2020,OkwaJu00
44.0,Owen Pappoe,24.0,LB,10,0.0,225.0,6-0,Auburn,9/29/2000,1,,Arizona Cardinals / 5th / 168th pick / 2023,PappOw00
0.0,Zach Pascal,30.0,WR,11,0.0,215.0,6-2,Old Dominion,12/18/1994,6,,,PascZa00
87.0,Tip Reiman,23.0,TE,11,6.0,273.0,6-4,Illinois,9/17/2001,Rook,,Arizona Cardinals / 3rd / 82nd pick / 2024,ReimTi00
56.0,Darius Robinson,23.0,DL,0,0.0,286.0,6-5,Missouri,9/13/2001,Rook,,Arizona Cardinals / 1st / 27th pick / 2024,RobiDa01
38.0,Chad Ryland,25.0,K,7,0.0,195.0,6-0,Eastern MichiganMaryland,10/15/1999,1,,New England Patriots / 4th / 112th pick / 2023,RylaCh00
55.0,Dante Stills,25.0,DL,10,4.0,286.0,6-4,West Virginia,12/14/1999,1,,Arizona Cardinals / 6th / 213th pick / 2023,StilDa01
42.0,Dadrion Taylor-Demerson,23.0,S,11,2.0,189.0,5-10,Texas Tech,1/20/2001,Rook,,Arizona Cardinals / 4th / 104th pick / 2024,TaylDa02
24.0,Starling Thomas,24.0,CB,11,11.0,194.0,5-10,Ala-Birmingham,1/25/2000,1,,,ThomSt01
54.0,Xavier Thomas,25.0,OLB,8,0.0,244.0,6-2,Clemson,12/20/1999,Rook,,Arizona Cardinals / 5th / 138th pick / 2024,ThomXa01
34.0,Jalen Thompson,26.0,S,9,9.0,190.0,5-11,Washington St.,7/18/1998,5,,Arizona Cardinals / 5th / 1st pick / 2019 Supp,ThomJa04
95.0,Khyiris Tonga,28.0,DL,10,1.0,338.0,6-4,BYU,7/7/1996,3,,Chicago Bears / 7th / 250th pick / 2021,TongKh00
15.0,Clayton Tune,25.0,QB,4,0.0,220.0,6-3,Houston,3/23/1999,1,,Arizona Cardinals / 5th / 139th pick / 2023,TuneCl00
81.0,Travis Vokolek,26.0,TE,1,0.0,260.0,6-6,RutgersNebraska,6/4/1998,1,,,VokoTr00
89.0,Xavier Weaver,24.0,WR,1,0.0,180.0,6-1,South FloridaColorado,10/12/2000,Rook,,,WeavXa00
7.0,Kyzir White,28.0,LB,11,11.0,234.0,6-2,West Virginia,3/24/1996,6,,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00
21.0,Garrett Williams,23.0,CB,10,8.0,192.0,5-10,Syracuse,6/1/2001,1,,Arizona Cardinals / 3rd / 72nd pick / 2023,WillGa00
73.0,Jonah Williams,27.0,OL,2,2.0,312.0,6-5,Alabama,11/17/1997,4,,Cincinnati Bengals / 1st / 11th pick / 2019,WillJo10
2.0,Mack Wilson,26.0,LB,11,11.0,246.0,6-1,Alabama,2/14/1998,5,,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03
14.0,Michael Wilson,24.0,WR,11,9.0,213.0,6-2,Stanford,2/23/2000,1,,Arizona Cardinals / 3rd / 94th pick / 2023,WilsMi02
41.0,Markus Bailey (SUS),27.0,LB,1,0.0,235.0,6-1,Purdue,3/7/1997,4,,Cincinnati Bengals / 7th / 215th pick / 2020,BailMa01
66.0,Jackson Barton (PRA_),29.0,OL,2,1.0,302.0,6-7,Utah,8/8/1995,3,,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
90.0,Angelo Blackson (PRA_),32.0,DL,1,0.0,318.0,6-4,Auburn,11/14/1992,9,,Tennessee Titans / 4th / 100th pick / 2015,BlacAn00
45.0,Dennis Gardeck (IR),30.0,OLB,7,3.0,232.0,6-0,Sioux Falls,8/9/1994,6,,,GardDe01
76.0,Will Hernandez (IR),29.0,OL,5,5.0,332.0,6-2,Texas-El Paso,9/2/1995,6,,New York Giants / 2nd / 34th pick / 2018,HernWi00
28.0,Elijah Jones (IR),24.0,CB,0,0.0,184.0,6-2,Boston Col.,1/8/2000,Rook,,Arizona Cardinals / 3rd / 90th pick / 2024,JoneEl00
93.0,Justin Jones (IR),28.0,DL,3,3.0,309.0,6-3,North Carolina St.,8/28/1996,6,,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03
92.0,Bilal Nichols (IR),28.0,DL,6,5.0,313.0,6-4,Delaware,9/14/1996,6,,Chicago Bears / 5th / 145th pick / 2018,NichBi00
61.0,Carter O'Donnell (IR),26.0,OL,0,0.0,305.0,6-5,University of Alberta,12/23/1998,1,,,ODonCa00
9.0,BJ Ojulari (IR),22.0,OLB,0,0.0,256.0,6-2,LSU,4/5/2002,1,,Arizona Cardinals / 2nd / 41st pick / 2023,OjulBJ00
5.0,Matt Prater (IR),40.0,K,4,0.0,201.0,5-10,Central Florida,8/10/1984,17,,,PratMa20
,Team Total,26.5,,11,,245.9,6-1.8,,,3.6,,,-9999
