No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
67.0,Nick Allegretti,28.0,G,10,10.0,320.0,6-4,Illinois,4/21/1996,5,,Kansas City Chiefs / 7th / 216th pick / 2019,AlleNi00
92.0,Dorance Armstrong Jr.,27.0,DE,9,9.0,255.0,6-4,Kansas,6/10/1997,6,,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00
87.0,John Bates,27.0,TE,10,3.0,259.0,6-6,Boise St.,11/6/1997,3,,Washington Football Team / 4th / 124th pick / 2021,BateJo00
57.0,Nick Bellore,35.0,LB,10,0.0,250.0,6-1,Central Michigan,5/12/1989,13,,,BellNi01
63.0,Tyler Biadasz,27.0,C,10,10.0,318.0,6-4,Wisconsin,11/20/1997,4,,Dallas Cowboys / 4th / 146th pick / 2020,BiadTy00
2.0,Dyami Brown,25.0,WR,10,1.0,195.0,6-0,North Carolina,11/1/1999,3,,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00
85.0,Noah Brown,28.0,WR,8,6.0,225.0,6-2,Ohio St.,1/6/1996,7,,Dallas Cowboys / 7th / 239th pick / 2017,BrowNo00
35.0,Percy Butler,24.0,S,10,3.0,191.0,6-0,Louisiana,5/29/2000,2,,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
11.0,Jeremy Chinn,26.0,S,10,10.0,220.0,6-3,Southern Illinois,2/26/1998,4,,Carolina Panthers / 2nd / 64th pick / 2020,ChinJe00
74.0,Brandon Coleman,24.0,OT,9,5.0,320.0,6-6,Trinity Valley CC (TX)TCU,10/12/2000,Rook,,Washington Commanders / 3rd / 67th pick / 2024,ColeBr02
76.0,Samuel Cosmi,25.0,G,10,10.0,309.0,6-6,Texas,2/16/1999,3,,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00
5.0,Jayden Daniels,24.0,QB,10,10.0,210.0,6-4,Arizona St.LSU,12/18/2000,Rook,,Washington Commanders / 1st / 2nd pick / 2024,DaniJa02
24.0,Michael Davis,29.0,CB,10,1.0,196.0,6-2,BYU,1/6/1995,7,,,DaviMi03
64.0,Sheldon Day,30.0,DT,5,0.0,294.0,6-1,Notre Dame,7/1/1994,8,,Jacksonville Jaguars / 4th / 103rd pick / 2016,DayxSh00
60.0,Michael Deiter,28.0,G,10,0.0,310.0,6-6,Wisconsin,9/3/1996,5,,Miami Dolphins / 3rd / 78th pick / 2019,DeitMi00
16.0,Jeff Driskel,31.0,QB,1,0.0,231.0,6-4,FloridaLouisiana Tech,4/23/1993,6,,San Francisco 49ers / 6th / 207th pick / 2016,DrisJe00
30.0,Austin Ekeler,29.0,RB,9,5.0,200.0,5-9,Western St. (CO),5/17/1995,7,,,EkelAu00
86.0,Zach Ertz,34.0,TE,10,10.0,250.0,6-5,Stanford,11/10/1990,11,,Philadelphia Eagles / 2nd / 35th pick / 2013,ErtzZa00
99.0,Clelin Ferrell,27.0,DE,7,7.0,265.0,6-4,Clemson,5/17/1997,5,,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00
13.0,Emmanuel Forbes,23.0,CB,6,1.0,180.0,6-0,Mississippi St.,1/13/2001,1,,Washington Commanders / 1st / 16th pick / 2023,ForbEm00
22.0,Darrick Forrest,25.0,S,3,0.0,200.0,5-11,Cincinnati,5/22/1999,3,,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
6.0,Dante Fowler,30.0,LB,10,4.0,261.0,6-3,Florida,8/3/1994,8,,Jacksonville Jaguars / 1st / 3rd pick / 2015,FowlDa00
45.0,Dominique Hampton,24.0,S,0,0.0,220.0,6-3,Washington,7/25/2000,Rook,,Washington Commanders / 5th / 161st pick / 2024,HampDo00
96.0,Jalyn Holmes,28.0,DT,4,0.0,283.0,6-5,Ohio St.,1/25/1996,6,,Minnesota Vikings / 4th / 102nd pick / 2018,HolmJa01
1.0,Noah Igbinoghene,25.0,CB,10,6.0,197.0,5-11,Auburn,11/27/1999,4,,Miami Dolphins / 1st / 30th pick / 2020,IgbiNo00
,Marshon Lattimore,28.0,CB,0,0.0,192.0,6-0,Ohio St.,5/19/1996,7,,New Orleans Saints / 1st / 11th pick / 2017,LattMa01
78.0,Cornelius Lucas,33.0,T,8,5.0,327.0,6-8,Kansas St.,7/18/1991,10,,,LucaCo01
4.0,Frankie Luvu,28.0,LB,10,10.0,236.0,6-3,Washington St.,9/19/1996,6,,,LuvuFr00
58.0,Jordan Magee,23.0,LB,3,0.0,226.0,6-3,Temple,3/24/2001,Rook,,Washington Commanders / 5th / 139th pick / 2024,MageJo00
18.0,Marcus Mariota,31.0,QB,2,0.0,222.0,6-4,Oregon,10/30/1993,9,,Tennessee Titans / 1st / 2nd pick / 2015,MariMa01
20.0,Quan Martin,24.0,DB,10,10.0,195.0,6-0,Illinois,4/17/2000,1,,Washington Commanders / 2nd / 47th pick / 2023,MartJa04
98.0,Phidarian Mathis,26.0,DT,10,0.0,312.0,6-4,Alabama,4/26/1998,2,,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
