No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26.0,Saquon Barkley,27,RB,9,9.0,233.0,6-0,Penn St.,2/9/1997,6,,New York Giants / 1st / 2nd pick / 2018,BarkSa00
53.0,Zack Baun,28,LB,9,9.0,225.0,6-3,Wisconsin,12/30/1996,4,,New Orleans Saints / 3rd / 74th pick / 2020,BaunZa00
77.0,Mekhi Becton,25,T,8,8.0,363.0,6-7,Louisville,4/18/1999,4,,New York Jets / 1st / 11th pick / 2020,BectMe00
32.0,Reed Blankenship,25,S,9,9.0,203.0,6-1,Middle Tenn. St.,3/2/1999,2,,,BlanRe00
59.0,Thomas Booker,25,DT,9,0.0,301.0,6-3,Stanford,11/11/1999,2,,Houston Texans / 5th / 150th pick / 2022,BookTh00
11.0,A.J. Brown,27,WR,6,6.0,226.0,6-1,Mississippi,6/30/1997,5,,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00
21.0,Sydney Brown,24,S,4,0.0,211.0,5-10,Illinois,3/21/2000,1,,Philadelphia Eagles / 3rd / 66th pick / 2023,BrowSy00
42.0,Oren Burks,29,LB,9,0.0,233.0,6-3,Vanderbilt,3/21/1995,6,,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00
81.0,Grant Calcaterra,26,TE,9,7.0,240.0,6-4,OklahomaSMU,12/4/1998,2,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
98.0,Jalen Carter,23,DT,9,8.0,314.0,6-3,Georgia,4/4/2001,1,,Philadelphia Eagles / 1st / 9th pick / 2023,CartJa05
90.0,Jordan Davis,24,DT,9,9.0,336.0,6-6,Georgia,1/12/2000,2,,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
17.0,Nakobe Dean,24,LB,9,9.0,231.0,5-11,Georgia,12/13/2000,2,,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
33.0,Cooper DeJean,21,DB,9,4.0,198.0,6-0,Iowa,2/8/2003,Rook,,Philadelphia Eagles / 2nd / 40th pick / 2024,DeJeCo00
69.0,Landon Dickerson,26,G,9,9.0,332.0,6-6,Florida St.Alabama,9/30/1998,3,,Philadelphia Eagles / 2nd / 37th pick / 2021,DickLa00
83.0,Jahan Dotson,24,WR,9,3.0,182.0,5-11,Penn St.,3/22/2000,2,,Washington Commanders / 1st / 16th pick / 2022,DotsJa00
75.0,Jack Driscoll,27,OL,5,0.0,312.0,6-5,MassachusettsAuburn,4/1/1997,4,,Philadelphia Eagles / 4th / 145th pick / 2020,DrisJa00
4.0,Jake Elliott,29,K,9,0.0,167.0,5-9,Memphis,1/21/1995,7,,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03
14.0,Kenneth Gainwell,25,RB,9,0.0,200.0,5-9,Memphis,3/14/1999,3,,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00
8.0,C.J. Gardner-Johnson,27,S,9,9.0,210.0,5-11,Florida,12/20/1997,5,,New Orleans Saints / 4th / 105th pick / 2019,GardCh00
61.0,Nick Gates,29,OL,8,0.0,312.0,6-5,Nebraska,11/27/1995,5,,,GateNi00
88.0,Dallas Goedert,29,TE,6,6.0,256.0,6-5,South Dakota St.,1/3/1995,6,,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00
55.0,Brandon Graham,36,DE,9,1.0,265.0,6-2,Michigan,4/3/1988,14,,Philadelphia Eagles / 1st / 13th pick / 2010,GrahBr99
0.0,Bryce Huff,26,DE,9,5.0,255.0,6-3,Memphis,4/17/1998,4,,,HuffBr00
58.0,Jalyx Hunt,23,OLB,8,0.0,252.0,6-3,CornellHouston Christian,3/13/2001,Rook,,Philadelphia Eagles / 3rd / 94th pick / 2024,HuntJa02
