No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
27.0,Shemar Bartholomew,24,CB,3,0.0,200.0,6-1,Northwestern St. (LA)Georgia Southern,6/6/2000,Rook,,,BartSh00
3.0,Raheem Blackshear,25,RB,11,0.0,190.0,5-9,RutgersVirginia Tech,6/5/1999,2,,,BlacRa00
24.0,Jonathon Brooks,21,RB,1,0.0,207.0,6-0,Texas,7/21/2003,Rook,,Carolina Panthers / 2nd / 46th pick / 2024,BrooJo02
53.0,Claudin Cherelus,26,LB,10,1.0,230.0,6-2,MassachusettsAlcorn St.,12/29/1998,1,,,CherCl00
70.0,Brady Christensen,28,G,11,5.0,300.0,6-6,BYU,9/27/1996,3,,Carolina Panthers / 3rd / 70th pick / 2021,ChriBr00
7.0,Jadeveon Clowney,31,OLB,9,9.0,266.0,6-5,South Carolina,2/14/1993,10,,Houston Texans / 1st / 1st pick / 2014,ClowJa00
18.0,Jalen Coker,23,WR,7,1.0,213.0,6-3,Holy Cross,10/30/2001,Rook,,,CokeJa01
96.0,Jaden Crumedy,24,DT,0,0.0,309.0,6-4,Mississippi St.,7/30/2000,Rook,,Carolina Panthers / 6th / 200th pick / 2024,CrumJa00
14.0,Andy Dalton,37,QB,6,5.0,220.0,6-2,TCU,10/29/1987,13,,Cincinnati Bengals / 2nd / 35th pick / 2011,DaltAn00
79.0,Ikem Ekwonu,24,T,9,9.0,320.0,6-4,North Carolina St.,10/31/2000,2,,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00
,Akayleb Evans,25,CB,0,0.0,198.0,6-2,TulsaMissouri,6/22/1999,2,,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
31.0,Caleb Farley,26,CB,4,0.0,197.0,6-2,Virginia Tech,11/2/1998,3,,Tennessee Titans / 1st / 22nd pick / 2021,FarlCa00
42.0,Sam Franklin,28,S,4,0.0,210.0,6-3,Temple,2/2/1996,4,,,FranSa00
84.0,Feleipe Franks,27,TE,10,0.0,228.0,6-6,FloridaArkansas,12/22/1997,3,,,FranFe00
20.0,Jordan Fuller,26,S,5,5.0,203.0,6-2,Ohio St.,3/4/1998,4,,Los Angeles Rams / 6th / 199th pick / 2020,FullJo01
45.0,Cam Gill,27,OLB,4,0.0,240.0,6-3,Wagner,12/14/1997,4,,,GillCa00
92.0,Jonathan Harris,28,DE,3,0.0,295.0,6-5,Lindenwood,8/4/1996,5,,,HarrJo05
10.0,Johnny Hekker,34,P,11,0.0,225.0,6-5,Oregon St.,2/8/1990,12,,,HekkJo00
8.0,Jaycee Horn,25,CB,11,11.0,200.0,6-1,South Carolina,11/26/1999,3,,Carolina Panthers / 1st / 8th pick / 2021,HornJa00
30.0,Chuba Hubbard,25,RB,11,11.0,210.0,6-1,Oklahoma St.,6/11/1999,3,,Carolina Panthers / 4th / 126th pick / 2021,HubbCh01
50.0,Robert Hunt,28,G,11,11.0,323.0,6-6,Louisiana,8/25/1996,4,,Miami Dolphins / 2nd / 39th pick / 2020,HuntRo01
48.0,Thomas Incoom,25,OLB,7,0.0,265.0,6-2,Valdosta St.Central Michigan,2/19/1999,1,,,IncoTh00
23.0,Dane Jackson,28,CB,4,2.0,180.0,5-11,Pittsburgh,11/29/1996,4,,Buffalo Bills / 7th / 239th pick / 2020,JackDa02
2.0,Michael Jackson,27,CB,11,11.0,210.0,6-1,Miami (FL),1/10/1997,5,,Dallas Cowboys / 5th / 158th pick / 2019,JackMi01
44.0,J.J. Jansen,38,LS,11,0.0,235.0,6-2,Notre Dame,1/20/1986,15,,,JansJ.00
47.0,Josey Jewell,30,LB,8,8.0,236.0,6-1,Iowa,12/25/1994,6,,Denver Broncos / 4th / 106th pick / 2018,JeweJo00
52.0,DJ Johnson,26,OLB,9,1.0,260.0,6-4,Miami (FL)Oregon,10/21/1998,1,,Carolina Panthers / 3rd / 80th pick / 2023,JohnDJ00
32.0,Lonnie Johnson Jr.,29,S,10,1.0,213.0,6-2,Garden City (KS)Kentucky,11/4/1995,5,,Houston Texans / 2nd / 54th pick / 2019,JohnLo01
61.0,Jarrett Kingston,25,OG,4,0.0,305.0,6-4,Washington St.USC,12/2/1999,Rook,,San Francisco 49ers / 6th / 215th pick / 2024,KingJa02
17.0,Xavier Legette,23,WR,11,8.0,227.0,6-3,South Carolina,1/29/2001,Rook,,Carolina Panthers / 1st / 32nd pick / 2024,LegeXa00
68.0,Damien Lewis,27,G,10,10.0,327.0,6-2,LSU,3/21/1997,4,,Seattle Seahawks / 3rd / 69th pick / 2020,LewiDa05
,Cade Mays,25,G,6,3.0,325.0,6-6,GeorgiaTennessee,4/26/1999,2,,Carolina Panthers / 6th / 199th pick / 2022,MaysCa00
83.0,David Moore,29,WR,11,4.0,220.0,6-0,East Central (OK),1/15/1995,7,,Seattle Seahawks / 7th / 226th pick / 2017,MoorDa03
72.0,Taylor Moton,30,T,9,9.0,325.0,6-5,Western Michigan,8/18/1994,7,,Carolina Panthers / 2nd / 64th pick / 2017,MotoTa00
77.0,Yosh Nijman,28,T,10,2.0,314.0,6-7,Virginia Tech,1/2/1996,4,,,NijmYo01
4.0,Eddy Piñeiro,29,K,11,0.0,190.0,5-11,ASA College (FL)Florida,9/13/1995,5,,,PineEd00
93.0,LaBryan Ray,27,DE,10,7.0,290.0,6-4,Alabama,12/5/1997,1,,,RayxLa02
49.0,Jon Rhattigan,25,LB,10,0.0,236.0,6-0,Army,2/2/1999,3,,,RhatJo00
36.0,Demani Richardson,24,S,8,2.0,215.0,6-1,Texas A&M,10/7/2000,Rook,,,RichDe03
94.0,A'Shawn Robinson,29,DE,10,10.0,320.0,6-3,Alabama,3/21/1995,8,,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00
22.0,Jammie Robinson,23,S,6,0.0,190.0,5-11,South CarolinaFlorida St.,1/24/2001,1,,Carolina Panthers / 5th / 145th pick / 2023,RobiJa03
0.0,Ja'Tavion Sanders,21,TE,11,6.0,252.0,6-4,Texas,3/27/2003,Rook,,Carolina Panthers / 4th / 101st pick / 2024,SandJa01
26.0,Chau Smith-Wade,22,CB,10,1.0,176.0,5-11,Washington St.,9/17/2002,Rook,,Carolina Panthers / 5th / 157th pick / 2024,SmitCh05
19.0,Adam Thielen,34,WR,4,4.0,195.0,6-2,Minnesota St.,8/22/1990,10,,,ThieAd00
13.0,Deven Thompkins,25,WR,3,0.0,155.0,5-8,Utah St.,12/23/1999,2,,,ThomDe07
82.0,Tommy Tremble,24,TE,6,5.0,250.0,6-4,Notre Dame,6/2/2000,3,,Carolina Panthers / 3rd / 83rd pick / 2021,TremTo00
99.0,Shy Tuttle,29,DT,9,9.0,300.0,6-3,Tennessee,10/20/1995,5,,,TuttSh00
56.0,Trevin Wallace,21,LB,11,6.0,244.0,6-1,Kentucky,2/22/2003,Rook,,Carolina Panthers / 3rd / 72nd pick / 2024,WallTr00
75.0,DeShawn Williams,32,DT,8,1.0,295.0,6-1,Clemson,12/29/1992,8,,,WillDe04
98.0,D.J. Wonnum,27,OLB,2,2.0,258.0,6-5,South Carolina,10/31/1997,4,,Minnesota Vikings / 4th / 117th pick / 2020,WonnDJ00
25.0,Xavier Woods,29,S,11,11.0,200.0,5-11,Louisiana Tech,7/26/1995,7,,Dallas Cowboys / 6th / 191st pick / 2017,WoodXa00
9.0,Bryce Young,23,QB,8,6.0,204.0,5-10,Alabama,7/25/2001,1,,Carolina Panthers / 1st / 1st pick / 2023,YounBr01
62.0,Chandler Zavala,25,G,11,1.0,322.0,6-3,Fairmont St.North Carolina St.,4/2/1999,1,,Carolina Panthers / 4th / 114th pick / 2023,ZavaCh00
38.0,Amare Barno (PUP),25,OLB,0,0.0,245.0,6-6,Butler (KS)Virginia Tech,4/26/1999,2,,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00
21.0,Nick Scott (IRD),29,S,7,4.0,200.0,5-11,Penn St.,5/17/1995,5,,Los Angeles Rams / 7th / 243rd pick / 2019,ScotNi01
35.0,Anthony Brown (IR),31,CB,0,0.0,192.0,5-11,Purdue,12/15/1993,8,,Dallas Cowboys / 6th / 189th pick / 2016,BrowAn02
95.0,Derrick Brown (IR),26,DE,1,1.0,320.0,6-5,Auburn,4/15/1998,4,,Carolina Panthers / 1st / 7th pick / 2020,BrowDe05
