No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
,Ugo Amadi,27.0,S,5,1.0,201.0,5-9,Oregon,5/16/1997,5,,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00
97.0,Khristian Boyd,24.0,DT,6,0.0,320.0,6-2,Northern Iowa,2/23/2000,Rook,,New Orleans Saints / 6th / 199th pick / 2024,BoydKh00
38.0,Millard Bradford,25.0,S,2,0.0,191.0,5-10,TCU,9/24/1999,Rook,,,BradMi00
90.0,Bryan Bresee,23.0,DT,11,7.0,305.0,6-5,Clemson,10/6/2001,1,,New Orleans Saints / 1st / 29th pick / 2023,BresBr00
4.0,Derek Carr,33.0,QB,8,8.0,215.0,6-3,Fresno St.,3/28/1991,10,,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
56.0,Demario Davis,35.0,LB,10,10.0,248.0,6-2,Arkansas St.,1/11/1989,12,,New York Jets / 3rd / 77th pick / 2012,DaviDe00
53.0,Jaylan Ford,23.0,LB,5,0.0,240.0,6-2,Texas,11/28/2001,Rook,,New Orleans Saints / 5th / 175th pick / 2024,FordJa02
55.0,Isaiah Foskey,24.0,DE,11,0.0,270.0,6-5,Notre Dame,10/30/2000,1,,New Orleans Saints / 2nd / 40th pick / 2023,FoskIs00
75.0,Taliese Fuaga,22.0,OT,11,11.0,324.0,6-6,Oregon St.,4/5/2002,Rook,,New Orleans Saints / 1st / 14th pick / 2024,FuagTa00
6.0,Willie Gay Jr.,26.0,LB,10,7.0,243.0,6-1,Mississippi St.,2/15/1998,4,,Kansas City Chiefs / 2nd / 63rd pick / 2020,GayJWi00
96.0,Carl Granderson,28.0,DE,11,11.0,261.0,6-5,Wyoming,12/18/1996,5,,,GranCa01
48.0,J.T. Gray,28.0,DB,11,0.0,202.0,6-0,Mississippi St.,1/18/1996,6,,,GrayJ.00
19.0,Blake Grupe,26.0,K,11,0.0,156.0,5-7,Arkansas St.Notre Dame,11/5/1998,1,,,GrupBl00
3.0,Jake Haener,25.0,QB,6,0.0,200.0,6-1,WashingtonFresno St.,3/16/1999,1,,New Orleans Saints / 4th / 127th pick / 2023,HaenJa00
5.0,Will Harris,29.0,CB,7,7.0,206.0,6-1,Boston Col.,12/19/1995,5,,Detroit Lions / 3rd / 81st pick / 2019,HarrWi02
43.0,Matthew Hayball,27.0,P,11,0.0,189.0,6-0,Florida AtlanticVanderbilt,3/12/1997,Rook,,,HaybMa00
7.0,Taysom Hill,34.0,TE,7,7.0,221.0,6-2,BYU,8/23/1990,7,,,HillTa00
85.0,Dallin Holker,24.0,TE,6,1.0,241.0,6-3,BYUColorado St.,4/7/2000,Rook,,,HolkDa00
31.0,Jordan Howden,24.0,DB,11,4.0,209.0,6-0,Minnesota,5/14/2000,1,,New Orleans Saints / 5th / 146th pick / 2023,HowdJo00
52.0,D'Marco Jackson,26.0,LB,8,0.0,233.0,6-1,Appalachian St.,7/20/1998,1,,New Orleans Saints / 5th / 161st pick / 2022,JackDM00
27.0,Shemar Jean-Charles,26.0,DB,3,2.0,184.0,5-10,Appalachian St.,6/20/1998,3,,Green Bay Packers / 5th / 178th pick / 2021,JeanSh00
83.0,Juwan Johnson,28.0,TE,11,3.0,231.0,6-4,OregonPenn St.,9/13/1996,4,,,JohnJu02
94.0,Cameron Jordan,35.0,DE,11,11.0,287.0,6-4,California,7/10/1989,13,,New Orleans Saints / 1st / 24th pick / 2011,JordCa00
41.0,Alvin Kamara,29.0,RB,11,11.0,215.0,5-10,AlabamaHutchinson (KS)Tennessee,7/25/1995,7,,New Orleans Saints / 3rd / 67th pick / 2017,KamaAl00
66.0,Shane Lemieux,27.0,G,3,1.0,310.0,6-4,Oregon,5/12/1997,4,,New York Giants / 5th / 150th pick / 2020,LemiSh00
32.0,Tyrann Mathieu,32.0,S,11,11.0,190.0,5-9,LSU,5/13/1992,11,,Arizona Cardinals / 3rd / 69th pick / 2013,MathTy00
78.0,Erik McCoy,27.0,C,4,4.0,303.0,6-4,Texas A&M,8/27/1997,5,,New Orleans Saints / 2nd / 48th pick / 2019,McCoEr01
14.0,Kool-Aid McKinstry,22.0,CB,9,3.0,199.0,5-11,Alabama,9/30/2002,Rook,,New Orleans Saints / 2nd / 41st pick / 2024,McKiKo00
33.0,Jordan Mims,25.0,RB,9,0.0,205.0,6-0,Fresno St.,5/16/1999,1,,,MimsJo00
87.0,Foster Moreau,27.0,TE,11,11.0,250.0,6-4,LSU,5/6/1997,5,,Oakland Raiders / 4th / 137th pick / 2019,MoreFo00
58.0,Anfernee Orji,24.0,LB,11,1.0,230.0,6-2,Vanderbilt,10/6/2000,1,,,OrjiAn00
62.0,Lucas Patrick,31.0,OL,8,7.0,313.0,6-3,Duke,7/30/1993,7,,,PatrLu00
36.0,Rico Payton,25.0,CB,10,0.0,182.0,6-0,Southern IllinoisPittsburg St.,11/28/1999,Rook,,,PaytRi00
70.0,Trevor Penning,25.0,OT,11,11.0,325.0,6-7,Northern Iowa,5/15/1999,2,,New Orleans Saints / 1st / 19th pick / 2022,PennTr00
46.0,Adam Prentice,27.0,FB,11,4.0,245.0,6-0,South Carolina,1/16/1997,3,,,PrenAd00
18.0,Spencer Rattler,24.0,QB,3,3.0,211.0,6-0,OklahomaSouth Carolina,9/28/2000,Rook,,New Orleans Saints / 5th / 150th pick / 2024,RattSp00
95.0,John Ridgeway,25.0,DT,8,0.0,321.0,6-5,Illinois St.Arkansas,5/7/1999,2,,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
51.0,Cesar Ruiz,25.0,OL,7,7.0,316.0,6-4,Michigan,6/14/1999,4,,New Orleans Saints / 1st / 24th pick / 2020,RuizCe00
64.0,Nick Saldiveri,24.0,OL,10,5.0,316.0,6-6,Old Dominion,8/14/2000,1,,New Orleans Saints / 4th / 103rd pick / 2023,SaldNi00
50.0,Khalen Saunders,28.0,DT,7,4.0,324.0,6-0,Western Illinois,8/9/1996,5,,Kansas City Chiefs / 3rd / 84th pick / 2019,SaunKh00
45.0,Nephi Sewell,26.0,LB,1,0.0,228.0,6-0,NevadaUtah,12/19/1998,2,,,SeweNe00
93.0,Nathan Shepherd,31.0,DT,11,11.0,315.0,6-4,Fort Hays St.,10/9/1993,6,,New York Jets / 3rd / 72nd pick / 2018,ShepNa00
1.0,Alontae Taylor,26.0,CB,11,9.0,199.0,6-1,Tennessee,12/3/1998,2,,New Orleans Saints / 2nd / 49th pick / 2022,TaylAl01
84.0,Mason Tipton,24.0,WR,10,1.0,187.0,5-11,Yale,9/27/2000,Rook,,,TiptMa00
98.0,Payton Turner,25.0,DE,10,0.0,270.0,6-6,Houston,1/7/1999,3,,New Orleans Saints / 1st / 28th pick / 2021,TurnPa02
74.0,Oli Udoh,27.0,OL,9,0.0,320.0,6-6,Elon,2/14/1997,5,,Minnesota Vikings / 6th / 193rd pick / 2019,UdohOl01
,Marquez Valdes-Scantling,30.0,WR,3,3.0,206.0,6-4,North Carolina St.South Florida,10/10/1994,6,,Green Bay Packers / 5th / 174th pick / 2018,ValdMa00
20.0,Pete Werner,25.0,LB,8,8.0,242.0,6-3,Ohio St.,6/5/1999,3,,New Orleans Saints / 2nd / 60th pick / 2021,WernPe00
21.0,Jamaal Williams,29.0,RB,8,0.0,224.0,6-0,BYU,4/3/1995,7,,Green Bay Packers / 4th / 134th pick / 2017,WillJa06
11.0,Cedrick Wilson Jr.,29.0,WR,9,0.0,197.0,6-2,Boise St.,11/20/1995,5,,Dallas Cowboys / 6th / 208th pick / 2018,WilsCe01
49.0,Zach Wood,31.0,LS,11,0.0,255.0,6-3,SMU,1/10/1993,7,,,WoodZa00
99.0,Chase Young,25.0,DE,11,0.0,265.0,6-5,Ohio St.,4/14/1999,4,,Washington Football Team / 1st / 2nd pick / 2020,YounCh04
67.0,Landon Young,27.0,T,11,4.0,321.0,6-7,Kentucky,8/21/1997,3,,New Orleans Saints / 6th / 206th pick / 2021,YounLa00
92.0,Tanoh Kpassagnon (PUP),30.0,DE,0,0.0,289.0,6-7,Villanova,6/14/1994,7,,Kansas City Chiefs / 2nd / 59th pick / 2017,KpasTa00
71.0,Ryan Ramczyk (PUP),30.0,T,0,0.0,314.0,6-6,Wisconsin,4/22/1994,7,,New Orleans Saints / 1st / 32nd pick / 2017,RamcRy00
59.0,Trajan Jeffcoat (PRA_),,DE,0,0.0,266.0,6-4,Arkansas,,Rook,,,JeffTr00
29.0,Paulson Adebo (IR),25.0,CB,7,7.0,192.0,6-1,Stanford,7/3/1999,3,,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
77.0,Justin Herron (IR),29.0,T,0,0.0,290.0,6-5,Wake Forest,11/27/1995,4,,New England Patriots / 6th / 195th pick / 2020,HerrJu00
