No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
88.0,AJ Barner,22.0,TE,11,5.0,251.0,6-6,IndianaMichigan,5/3/2002,Rook,,Seattle Seahawks / 4th / 121st pick / 2024,BarnAJ00
19.0,Jake Bobo,26.0,WR,11,2.0,207.0,6-4,DukeUCLA,8/4/1998,1,,,BoboJa00
86.0,Pharaoh Brown,30.0,TE,9,5.0,246.0,6-5,Oregon,5/4/1994,7,,,BrowPh01
22.0,Tre Brown,27.0,CB,9,3.0,185.0,5-10,Oklahoma,9/24/1997,3,,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
8.0,Coby Bryant,25.0,CB,11,5.0,193.0,6-1,Cincinnati,3/29/1999,2,,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
26.0,Zach Charbonnet,23.0,RB,11,2.0,214.0,6-1,MichiganUCLA,1/8/2001,1,,Seattle Seahawks / 2nd / 52nd pick / 2023,CharZa00
67.0,Charles Cross,24.0,T,11,11.0,311.0,6-5,Mississippi St.,11/25/2000,2,,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
4.0,Michael Dickson,28.0,P,11,0.0,208.0,6-2,Texas,1/4/1996,6,,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
87.0,Noah Fant,27.0,TE,8,5.0,249.0,6-4,Iowa,11/20/1997,5,,Denver Broncos / 1st / 20th pick / 2019,FantNo00
30.0,AJ Finley,23.0,S,0,0.0,188.0,6-0,Mississippi,9/14/2001,1,,,FinlAJ00
50.0,Trevis Gipson,27.0,LB,5,0.0,263.0,6-4,Tulsa,6/13/1997,4,,Chicago Bears / 5th / 155th pick / 2020,GipsTr00
58.0,Derick Hall,23.0,OLB,11,9.0,254.0,6-3,Auburn,3/19/2001,1,,Seattle Seahawks / 2nd / 37th pick / 2023,HallDe04
97.0,Johnathan Hankins,32.0,DT,11,7.0,325.0,6-3,Ohio St.,3/30/1992,11,,New York Giants / 2nd / 49th pick / 2013,HankJo00
64.0,Christian Haynes,24.0,OG,10,0.0,318.0,6-2,Connecticut,4/13/2000,Rook,,Seattle Seahawks / 3rd / 81st pick / 2024,HaynCh00
6.0,Sam Howell,24.0,QB,1,0.0,220.0,6-1,North Carolina,9/16/2000,2,,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
2.0,Rayshawn Jenkins,30.0,SS,7,6.0,220.0,6-1,Miami (FL),1/25/1994,7,,Los Angeles Chargers / 4th / 113th pick / 2017,JenkRa00
65.0,Michael Jerrell,25.0,OT,6,2.0,294.0,6-5,Findlay,8/18/1999,Rook,,Seattle Seahawks / 6th / 207th pick / 2024,JerrMi00
29.0,Josh Jobe,26.0,CB,5,2.0,190.0,5-11,Alabama,4/9/1998,2,,,JobeJo00
